object_id,ein,RgnTxt,PrpsOfGrntTxt,CshGrntAmt,MnnrOfCshDsbrsmntTxt
201532889349300523,631222148,"NORTH AMERICA - CANADA AND MEXICO, BUT",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,CENTRAL AMERICA AND THE CARIBBEAN -,FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201532889349300523,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",FUNDING FOR MISSIONARY SCHOOL EDUCATING MINISTERS,WIRE TRANSFER
201503209349316020,116039909,MIDDLE EAST AND NORTH AFRICA,PROMOTING JEWISH EDUCATION,1507072,WIRE/CHECK
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"QUEENSLAND BRAIN INSTITUTE, MARSHALL LABORATORY, UQ FOR LANTERN FISH PROJECT",405000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"THE DOW CENTRE FOR SUSTAINABLE ENGINEERING INNOVATION, UQ FOR THE OPERATIONS OF THE DOW CENTRE.",2000000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,SUPPORT AUSTRALIAN INSTITUTE OF BUSINESS AND ECONOMICS,235000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,THE MCLENNAN AND HOWES COLLABORATIVE SCHOLARSHIP,60000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"ENDOWED SCHOLARSHIPS, EMERGING NEEDS, VARIOUS FACULTIES, DEPARTMENTS AND COLLEGES",59703,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,THE CENTRE FOR SOCIAL RESPONSIBILITY IN MINING (CSRM) AT SMI FOR RESEARCH ON THE EFFECTIVENESS AND OUTCOMES OF CERTIFICATION SCHEMES IN THE MINING SECTOR.,125000,WIRE,FMV
201513169349303856,274495703,EAST ASIA AND THE PACIFIC,"THOMAS A. PLEIN ENDOWED SCHOLARSHIP FOR US CITIZEN(S) STUDYING IN EITHER THE SCHOOL OF BUSINESS, ECONOMICS OR LAW AT THE BUSINESS ECONOMICS AND LAW FACULTY.",27500,WIRE,FMV
201523159349300987,260069167,FUND SALARY OF PROF,10800,CHECK
201533209349315408,260833212,CHARITABLE,28934,WIRE TRANSFER
201533039349301303,912163512,SCHOOL AID,EFT
201533359349301118,841567873,Cuba,Training Support,10100,Wire Trnsfr
201533359349301118,841567873,Malawi,Training Support,11157,Wire Trnsfr
201533359349301118,841567873,Mexico,Training Support,28500,Wire Trnsfr
201533359349301118,841567873,USA Latinos,Training Support,10143,Wire Trnsfr
201513439349300141,980042539,"North America (including Canada and Mexico, but not the United States)","Since we are a Canadian organization, all of our grants are paid in Canada, which is outside the US. Our grants are to support student organizations, federated colleges, and other Universities performing research (subgrants).",1568737,Cheque,0
201522939349300037,580593438,East Asia,American Cultural,10000,Wire
201522859349300807,954749034,SUPPORT UNIVERSITY,CASH WIRE TRANSFER
201503499349300305,237069575,"North America (including Canada and Mexico, but not the United States)",research,5241987,cheque,0
201503519349300545,730739626,Central America and the Caribbean,Ministry support,150000,Check
201503519349300545,730739626,Middle East and North Africa,Pastoral training,5032,Check
201503519349300545,730739626,Europe (Including Iceland & Greenland),Ministry networking,7800,ACH payment
201503519349300545,730739626,Sub-Saharan Africa,Church building,5011,ACH payment
201620339349301002,042111203,East Asia and the Pacific,Research,63660,wire transfer,0
201620339349301002,042111203,Europe (including Iceland and Greenland),Research,45690,check,0
201620339349301002,042111203,"North America (including Canada and Mexico, but not the United States)",Research,41587,check,0
201620339349301002,042111203,South Asia,Research,18343,check,0
201620339349301002,042111203,South America,Research,24796,wire transfer,0
201620309349300107,454135256,EUROPE (INCLUDING ICELAND & GREENLAND),DIABETES RESEARCH,79926,WIRE TRANSFER
201640359349301314,951744369,"Sub-Saharan Africa - Angola, Benin, Botswana, Burkina, Faso,",Foreign studies,1867000,Wire Transfer
201543459349300904,986001141,"North America (including Canada and Mexico, but not the United States)",Research,56722000,Wire Cheque Draft,0
201543459349300904,986001141,Sub-Saharan Africa,Research,685000,Wire Cheque Draft,0
201543459349300904,986001141,East Asia and the Pacific,Research,193000,Wire Cheque Draft,0
201543459349300904,986001141,South Asia,Research,128000,Wire Cheque Draft,0
201543459349300904,986001141,Central America and the Caribbean,Research,63000,Wire Cheque Draft,0
201543459349300904,986001141,South America,Research,49000,Wire Cheque Draft,0
201543459349300904,986001141,Europe (including Iceland and Greenland),Research,27000,Wire Cheque Draft,0
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6913,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6913,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6913,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6913,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6646,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6565,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6284,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6284,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6284,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6284,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6269,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6261,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6104,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,6071,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,5632,Wire Transfer
201600719349300405,986001062,Europe (including Iceland and Greenland),Research and Education,5499,Wire Transfer
201601379349302080,383071514,Europe (including Iceland and Greenland),RESEARCH GRANT,60000,WIRE TRANSFER,0
201601379349302080,383071514,"North America (including Canada and Mexico, but not the United States)",PUBLIC SERVICE,31476,CHECK,0
201601379349302080,383071514,Sub-Saharan Africa,PUBLIC SERVICE,20000,WIRE TRANSFER,0
201641059349301029,750827465,Central America and the Caribbean,Promoting Dignity through Economic Independence in Haiti,11782,Check,0,N/A,N/A
201641059349301029,750827465,East Asia and the Pacific,Scientific study,20821,Check,0,N/A,N/A
201641059349301029,750827465,North America (Canada & Mexico only),"Project: Novel Approach to Image Ricin Release and Swelling, subaward",45680,Check,0,N/A,N/A
201641059349301029,750827465,Russia and Neighboring States,Scientific study,26071,Wire,0,N/A,N/A
201641059349301029,750827465,Europe (Including Iceland and Greenland),Research,24420,Wire,0,N/A,N/A
201601319349302115,231352685,Europe (including Iceland and Greenland),ARCHITECT DESIGN,84196,WIRE,N/A,N/A
201601319349302115,231352685,Europe (including Iceland and Greenland),CITY PLANNING,12661,CREDIT CARD,N/A,N/A
201601319349302115,231352685,Europe (including Iceland and Greenland),UR PROJECT SUBAWARD,277565,WIRE,N/A,N/A
201601319349302115,231352685,Europe (including Iceland and Greenland),SUMMER IMMERSION,34456,WIRE,N/A,N/A
201611309349300901,240795445,1518028
201611309349300901,240795445,RESEARCH,5283
201611309349300901,240795445,South Asia,10000,CHECK,N/A,N/A
201611349349305306,630288878,"SUB-SAHARAN AFRICA - ANGOLA, BENIN, BOTSWANA, BURKINA, FASO,",TO PROVIDE EDUCATIONAL ASSISTANCE,74640,WIRE TRANSFER
201611349349305306,630288878,"MOROGORO, TANZANIA",TO PROVIDE EDUCATIONAL ASSISTANCE,12619,WIRE TRANSFER
201601259349301065,166054295,EAST ASIA,STUDENT RECRUITING,30000,WIRE,FMV
201601259349301065,166054295,SUB-SAHARAN AFRICA,STUDENT RECRUITING,14664,CHECK,FMV
201641069349300214,042103545,Sub-Saharan Africa,GENERAL SUPPORT,21010,WIRE TRANSFR
201641069349300214,042103545,Sub-Saharan Africa,GENERAL SUPPORT,120010,WIRE TRANSFR
201641069349300214,042103545,Sub-Saharan Africa,GENERAL SUPPORT,16010,WIRE TRANSFR
201641069349300214,042103545,Sub-Saharan Africa,GENERAL SUPPORT,75010,WIRE TRANSFR
201641069349300214,042103545,Sub-Saharan Africa,GENERAL SUPPORT,95010,WIRE TRANSFR
201641069349300214,042103545,Central America and the Caribbean,GENERAL SUPPORT,20000,WIRE TRANSFR
201631209349300303,231352688,Europe (Including Iceland and Greenland),Event,22454,Credit Card,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Event,9230,Credit Card,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,34084,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Housing,6743,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,55110,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Housing,238170,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Housing,12524,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,23053,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,16721,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,136500,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,152275,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Academic,9780,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,24764,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Housing,6353,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Housing,6633,Wire,N/A,N/A
201631209349300303,231352688,Middle East and North Africa,Housing,21653,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,160515,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Land,52119,Check,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Land,62613,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Housing,29747,Wire,N/A,N/A
201631209349300303,231352688,Middle East and North Africa,Housing,10542,Credit Card,N/A,N/A
201631209349300303,231352688,Middle East and North Africa,Tuition,51457,Wire,N/A,N/A
201631209349300303,231352688,Middle East and North Africa,Airfare,42994,Wire,N/A,N/A
201631209349300303,231352688,East Asia and the Pacific,Tuition,41400,Wire,N/A,N/A
201631209349300303,231352688,East Asia and the Pacific,Tuition,36000,Wire,N/A,N/A
201631209349300303,231352688,East Asia and the Pacific,Academic,6600,Wire,N/A,N/A
201631209349300303,231352688,East Asia and the Pacific,Excursions,52980,Check,N/A,N/A
201631209349300303,231352688,East Asia and the Pacific,Tuition,14950,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Housing,6263,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Internship,201396,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Housing,15299,Credit Card,N/A,N/A
201631209349300303,231352688,South America,Tuition,53010,Check,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,20800,Wire,N/A,N/A
201631209349300303,231352688,North America,Housing,37883,Credit Card,N/A,N/A
201631209349300303,231352688,East Asia and the Pacific,Tuition,82269,Wire,N/A,N/A
201631209349300303,231352688,East Asia and the Pacific,Tuition,8581,Wire,N/A,N/A
201631209349300303,231352688,Central America and the Caribbean,Tuition,9450,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,10394,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,9332,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,11044,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,104960,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,53412,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,30126,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,182439,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,7433,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,157020,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,75186,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,7134,Credit Card,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,148642,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,181458,Wire,N/A,N/A
201631209349300303,231352688,East Asia and the Pacific,Tuition,12000,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,10504,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,100657,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Tuition,18008,Wire,N/A,N/A
201631209349300303,231352688,Europe (Including Iceland and Greenland),Airfare,8462,Credit Card,N/A,N/A
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,336717,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,173703,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,114843,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,53297,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,51396,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,50000,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,43108,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,34110,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,29669,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,27882,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,15107,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,10000,EFT OR CHECK
201601349349304030,042103580,East Asia and the Pacific,Sponsored Research Sub-Award,8823,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,344563,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,282415,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,239076,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,226161,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,166200,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,149143,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,125776,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,123061,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,100000,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,92154,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,78280,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,73920,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,72150,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,60480,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,60000,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,57150,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,52571,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,52146,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,34961,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,28382,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,26324,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,18825,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,17400,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,15353,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,15000,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,14000,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,12107,EFT OR CHECK
201601349349304030,042103580,Europe (Including Iceland and Greenland),Sponsored Research Sub-Award,11192,EFT OR CHECK
201601349349304030,042103580,Middle East and North Africa,Sponsored Research Sub-Award,79005,EFT OR CHECK
201601349349304030,042103580,Middle East and North Africa,Sponsored Research Sub-Award,32511,EFT OR CHECK
201601349349304030,042103580,North America (Canada & Mexico only),Sponsored Research Sub-Award,116635,EFT OR CHECK
201601349349304030,042103580,North America (Canada & Mexico only),Sponsored Research Sub-Award,110856,EFT OR CHECK
201601349349304030,042103580,North America (Canada & Mexico only),Sponsored Research Sub-Award,86805,EFT OR CHECK
201601349349304030,042103580,North America (Canada & Mexico only),Sponsored Research Sub-Award,83361,EFT OR CHECK
201601349349304030,042103580,North America (Canada & Mexico only),Sponsored Research Sub-Award,74668,EFT OR CHECK
201601349349304030,042103580,North America (Canada & Mexico only),Sponsored Research Sub-Award,42700,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,991360,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,634721,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,203303,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,175467,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,63532,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,56657,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,52214,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,47894,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,46245,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,45340,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,36000,EFT OR CHECK
201601349349304030,042103580,Russia and Neighboring States,Sponsored Research Sub-Award,29558,EFT OR CHECK
201601349349304030,042103580,South America,Sponsored Research Sub-Award,1816212,EFT OR CHECK
201601349349304030,042103580,South America,Sponsored Research Sub-Award,105656,EFT OR CHECK
201601349349304030,042103580,South America,Sponsored Research Sub-Award,36212,EFT OR CHECK
201601349349304030,042103580,South America,Sponsored Research Sub-Award,20000,EFT OR CHECK
201601349349304030,042103580,South America,Sponsored Research Sub-Award,7873,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,415683,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,351770,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,309619,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,216711,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,165023,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,69760,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,20000,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,19395,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,15657,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,15165,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,10127,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,6000,EFT OR CHECK
201601349349304030,042103580,South Asia,Sponsored Research Sub-Award,5851,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,6515279,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,637508,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,463994,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,244965,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,239318,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,168140,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,130439,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,103086,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,85455,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,80824,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,49000,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,37343,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,26338,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,26106,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,11864,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,9430,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,8690,EFT OR CHECK
201601349349304030,042103580,Sub-Saharan Africa,Sponsored Research Sub-Award,6101,EFT OR CHECK
201601049349300430,850297355,"EUROPE (INCLUDING ICELAND & GREENLAND) - ALBANIA, ANDORRA, AUSTRIA, BELGIUM",TUITION/OPERATIONAL SUPPORT/STUDENT AID,777520,WIRE/EXCHANGE,0
201601049349300430,850297355,"EAST ASIA AND THE PACIFIC - AUSTRALIA, BRUNEI, BURMA, CAMBODIA,",TUITION/OPERATIONAL SUPPORT/STUDENT AID,348522,WIRE/EXCHANGE,0
201601049349300430,850297355,"NORTH AMERICA - CANADA AND MEXICO, BUT BUT NOT THE UNITED STATES",TUITION/OPERATIONAL SUPPORT,124375,WIRE/EXCHANGE,0
201601049349300430,850297355,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",TUITION/OPERATIONAL SUPPORT/STUDENT AID,257380,WIRE/EXCHANGE,0
201601049349300430,850297355,"SUB-SAHARAN AFRICA - ANGOLA, BENIN, BOTSWANA, BURKINA, FASO,",TUITION/OPERATIONAL SUPPORT,245460,WIRE/EXCHANGE,0
201601049349300430,850297355,"RUSSIA AND NEIGHBORING STATES - ARMENIA, AZERBIJAN, BELARUS,",TUITION/OPERATIONAL SUPPORT/STUDENT AID,1056500,WIRE/EXCHANGE,0
201621379349303347,060646973,CENTRAL AMERICA AND THE CARIBBEAN,SUBAWARD - SPONSORED RESEARCH,352576,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,15000,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,5000,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,57027,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,71905,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,59433,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,11190,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,30230,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,7997,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,25977,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,149257,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,12457,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,78354,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,6500,WIRE
201621379349303347,060646973,EAST ASIA AND THE PACIFIC,SUBAWARD - SPONSORED RESEARCH,190458,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,5675,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,116512,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,7986,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,9299,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,138515,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,6400,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,9276,WIRE
201621379349303347,060646973,EUROPE (INCL. ICELAND AND GREENLAND),SUBAWARD - SPONSORED RESEARCH,40780,WIRE
