object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblPrtnrshp_EIN,IdRltdOrgTxblPrtnrshp_PrmryActvtsTxt,IdRltdOrgTxblPrtnrshp_LglDmclSttCd,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdOrgTxblPrtnrshp_PrdmnntIncmTxt,IdRltdOrgTxblPrtnrshp_ShrOfTtlIncmAmt,IdRltdOrgTxblPrtnrshp_ShrOfEOYAsstsAmt,IdRltdOrgTxblPrtnrshp_DsprprtntAllctnsInd,IdRltdOrgTxblPrtnrshp_GnrlOrMngngPrtnrInd,IdRltdOrgTxblPrtnrshp_OwnrshpPct
201612439349300026,042964630,SIOCHAIN PROPERTIES LP,143 BORDER STREET,EAST BOSTON,MA,02128,043489643,PROVIDES HOUSING FOR LOW TO MODERATE INCOME INDIVIDUALS/FAMILIES,MA,N/A,N/A,0,1
201632519349300313,611339396,Mercy Housing Colorado-II Ltd,1999 Broadway Suite 1000,Denver,CO,80202,841176713,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Colorado-IX,1999 Broadway Suite 1000,Denver,CO,80202,870706258,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia 12 LP (Savannah G,1999 Broadway Suite 1000,Denver,CO,80202,272987561,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia 13 LP,1999 Broadway Suite 1000,Denver,CO,80202,455108221,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia 14 LP,1999 Broadway Suite 1000,Denver,CO,80202,462787254,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia 15 LP,1999 Broadway Suite 1000,Denver,CO,80202,465547801,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia I,1999 Broadway Suite 1000,Denver,CO,80202,582461689,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia II,1999 Broadway Suite 1000,Denver,CO,80202,582621798,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia III,1999 Broadway Suite 1000,Denver,CO,80202,431954812,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia IV,1999 Broadway Suite 1000,Denver,CO,80202,562328730,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia IX LP,1999 Broadway Suite 1000,Denver,CO,80202,208829418,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia V LP,1999 Broadway Suite 1000,Denver,CO,80202,900284434,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia VI LP,1999 Broadway Suite 1000,Denver,CO,80202,204466474,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia VIII LP,1999 Broadway Suite 1000,Denver,CO,80202,582461689,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia X (Savannah Garden,1999 Broadway Suite 1000,Denver,CO,80202,270162550,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Georgia XI LP (Etowah Ter,1999 Broadway Suite 1000,Denver,CO,80202,262523190,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Idaho I,1999 Broadway Suite 1000,Denver,CO,80202,841212028,low-inc hsng,ID,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Idaho II,1999 Broadway Suite 1000,Denver,CO,80202,841212029,low-inc hsng,ID,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Idaho III,1999 Broadway Suite 1000,Denver,CO,80202,841251391,low-inc hsng,ID,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Idaho IV,1999 Broadway Suite 1000,Denver,CO,80202,820487654,low-inc hsng,ID,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Idaho NSP LLC (NSPID),1999 Broadway Suite 1000,Denver,CO,80202,271039061,low-inc hsng,ID,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Idaho V (Sisters Villa),1999 Broadway Suite 1000,Denver,CO,80202,043624359,low-inc hsng,ID,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Iowa II LP,1999 Broadway Suite 1000,Denver,CO,80202,841284752,low-inc hsng,IA,na,RELATED,false,false
201632519349300313,611339396,mercy housing midwest nebraska llc,1999 Broadway Suite 1000,Denver,CO,80202,201583332,low-inc hsng,NE,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Missouri II,1999 Broadway Suite 1000,Denver,CO,80202,841201811,low-inc hsng,MO,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing S Carolina I,1999 Broadway Suite 1000,Denver,CO,80202,593767323,low-inc hsng,SC,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Senior Properties LLC,1999 Broadway Suite 1000,Denver,CO,80202,943081666,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing South Carolina I,1999 Broadway Suite 1000,Denver,CO,80202,593767323,low-inc hsng,SC,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing South Dakota I LLC,1999 Broadway Suite 1000,Denver,CO,80202,202830331,low-inc hsng,SD,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing South Dakota II LLC,1999 Broadway Suite 1000,Denver,CO,80202,202830356,low-inc hsng,SD,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Utah I,1999 Broadway Suite 1000,Denver,CO,80202,020564555,low-inc hsng,UT,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Washington III,1999 Broadway Suite 1000,Denver,CO,80202,911676111,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Washington IX LP,1999 Broadway Suite 1000,Denver,CO,80202,651186086,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Washington V,1999 Broadway Suite 1000,Denver,CO,80202,841457612,low-inc hsng,OR,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Washington VI,1999 Broadway Suite 1000,Denver,CO,80202,841459924,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Washington VII,1999 Broadway Suite 1000,Denver,CO,80202,912038920,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Washington VIII,1999 Broadway Suite 1000,Denver,CO,80202,912124779,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Mercy Housing Washington X LLC,1999 Broadway Suite 1000,Denver,CO,80202,550887839,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Mercy Loan Fund Sub-CDE LLC,1999 Broadway Suite 1000,Denver,CO,80202,271326149,low-inc hsng,CO,na,RELATED,false,false
201632519349300313,611339396,Mercy Properties Washington I LLC,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Mercy Properties Washington II,1999 Broadway Suite 1000,Denver,CO,80202,300117515,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Mercy Properties Washington III LLC,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,MHC Health 1 LP,1999 Broadway Suite 1000,Denver,CO,80202,473554305,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,MHNW 9 Othello East LP,1999 Broadway Suite 1000,Denver,CO,80202,471620007,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,MHNW 10 Othello West LP,1999 Broadway Suite 1000,Denver,CO,80202,471614235,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,MHNW 11 Woodlakes LP,1999 Broadway Suite 1000,Denver,CO,80202,472334969,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,MHNW 12 Eleanor Apartments LLLP,1999 Broadway Suite 1000,Denver,CO,80202,473599013,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,MHNW 13 Building 9 South LP,1999 Broadway Suite 1000,Denver,CO,80202,474660134,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,MHNW 14 Building 9 North LP,1999 Broadway Suite 1000,Denver,CO,80202,474683004,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,MHSE Adamsville Green Senior Partners LL,1999 Broadway Suite 1000,Denver,CO,80202,262523190,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,MHSE Bailey Station Senior LP,1999 Broadway Suite 1000,Denver,CO,80202,461868814,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,MHSE Mercy Park LP,1999 Broadway Suite 1000,Denver,CO,80202,611757712,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,MHSE Pinelake LP,1999 Broadway Suite 1000,Denver,CO,80202,800616765,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,MHSE Pinelake I LP,1999 Broadway Suite 1000,Denver,CO,80202,900856866,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,MHSE Reynoldstown Senior LP,1999 Broadway Suite 1000,Denver,CO,80202,463054017,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,MSHE Wilson Senior Residence LP,1999 Broadway Suite 1000,Denver,CO,80202,464907701,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Monroe Villa,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Monsignor Lyne LP,1999 Broadway Suite 1000,Denver,CO,80202,651308080,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Mortgage Resolution Fund LLC,120 LaSalle Suite 1850,Chicago,IL,60603,453801619,management,IL,na,RELATED,false,false
201632519349300313,611339396,Moses Lake Estates,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,MPI Highland Place Apartments LP,1999 Broadway Suite 1000,Denver,CO,80202,582461689,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Near North Partnership,1999 Broadway Suite 1000,Denver,CO,80202,320143113,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Neary Lagoon Partners,1999 Broadway Suite 1000,Denver,CO,80202,770256317,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,New Dana Strand IV-A LP,1999 Broadway Suite 1000,Denver,CO,80202,473082758,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,New Dana Strand Partners I LP,1999 Broadway Suite 1000,Denver,CO,80202,510524022,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,New Dana Strand Townhomes,1999 Broadway Suite 1000,Denver,CO,80202,510524022,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,New Sterling Park LLC,1999 Broadway Suite 1000,Denver,CO,80202,272523530,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,New Sterling Park MM LLC,1999 Broadway Suite 1000,Denver,CO,80202,272523309,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,New Tacoma Phase II Mercy LLC,1999 Broadway Suite 1000,Denver,CO,80202,452478067,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,New Tacoma Senior Housing Phase I,1999 Broadway Suite 1000,Denver,CO,80202,911546525,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Northglen LP,1999 Broadway Suite 1000,Denver,CO,80202,320139512,low-inc hsng,NE,na,RELATED,false,false
201632519349300313,611339396,Oak Harbor,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Olympic,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Park Terrace Apts (Park Terrace Apts),1999 Broadway Suite 1000,Denver,CO,80202,943332881,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Parkside Terrace LP,1999 Broadway Suite 1000,Denver,CO,80202,363914505,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Pilchuck,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Pine Road Village,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Pinewood Court Apartments,1999 Broadway Suite 1000,Denver,CO,80202,680435836,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Rainer Vista Block 43 Owner LP(Columbia,1999 Broadway Suite 1000,Denver,CO,80202,273221112,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Red Door Limited Partnership,1999 Broadway Suite 1000,Denver,CO,80202,363915050,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Reynoldstown Senior Apts (Renoldstown),1999 Broadway Suite 1000,Denver,CO,80202,270162550,low-inc hsng,GA,na,RELATED,false,false
201632519349300313,611339396,Rock Creek Terrace,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Roseland Limited Partnerhsip,1999 Broadway Suite 1000,Denver,CO,80202,364304416,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Roseland Place LP,1999 Broadway Suite 1000,Denver,CO,80202,800195044,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,San Felipe Homes (San Felipe Homes),1999 Broadway Suite 1000,Denver,CO,80202,954384732,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Sandstone,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,SC Residence LLC,1999 Broadway Suite 1000,Denver,CO,80202,260675562,low-inc hsng,WI,na,RELATED,false,false
201632519349300313,611339396,Silvercrest,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Skagit Village,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Somerset Senior Hsg,1999 Broadway Suite 1000,Denver,CO,80202,742765568,low-inc hsng,TX,na,RELATED,false,false
201632519349300313,611339396,South Loop Apartments,1999 Broadway Suite 1000,Denver,CO,80202,364027476,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,St Andrew Community LP,1999 Broadway Suite 1000,Denver,CO,80202,651308080,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Sunnydale Development Co LLC,1999 Broadway Suite 1000,Denver,CO,80202,263566543,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Tahoe Valley Townhomes Assoc,1999 Broadway Suite 1000,Denver,CO,80202,943298324,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,The Keating Building Little Village LLC,1999 Broadway Suite 1000,Denver,CO,80202,264584321,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,Third and LeCante LP,1999 Broadway Suite 1000,Denver,CO,80202,264176495,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Villa Columba Mercy Riverside LP,1999 Broadway Suite 1000,Denver,CO,80202,651308076,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Villa Columbia Mercy Riverside LP (Merc,1999 Broadway Suite 1000,Denver,CO,80202,364304416,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Villa Kathleen Redevelopment,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Village Park Housing Associates,1999 Broadway Suite 1000,Denver,CO,80202,680254566,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Visitation Valley Fam Hsg Assoc,1999 Broadway Suite 1000,Denver,CO,80202,943275566,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Wapato Gardens,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Washington Square,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Wentworth Commons,1999 Broadway Suite 1000,Denver,CO,80202,300082553,low-inc hsng,IL,na,RELATED,false,false
201632519349300313,611339396,West 28th Street,1999 Broadway Suite 1000,Denver,CO,80202,954550003,low-inc hsng,CA,na,RELATED,false,false
201632519349300313,611339396,Western Manor LP,1999 Broadway Suite 1000,Denver,CO,80202,264578652,low-inc hsng,NE,na,RELATED,false,false
201632519349300313,611339396,Woodlake Manor,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632519349300313,611339396,Woodlake Manor II,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201612459349301101,410128105,CONNEXUS COMMUNITY SOLAR 1 LLC,14601 RAMSEY BLVD,RAMSEY,MN,55303,352505435,SOLAR ENERGY INVESTMENT,MN,N/A
201612509349300501,431769074,TWENTY FIRST HOMES LP,1023 N GRAND BLVD,ST LOUIS,MO,63106,261484330,RESIDENTIAL RENTAL REAL ESTATE,IL,JUSTINE PETERSEN HOUSING AND REINVESTMENT CORPORATION,RELATED,-161385,4162268,0,1,0.99990
201602159349300625,416031510,THE COMMUNITY INVESTMENT GROUP,101 FIFTH STREET EAST SUITE 2400,SAINT PAUL,MN,55101,411765364,INVESTMENT PARTNERSHIP,MN,THE SAINT PAUL FOUNDATION,INVESTMENT INCOME,18442085,340632564,0,0,0.59790
201602149349300040,521231931,ECLF TOAH mbr LLC,11000 broken land parkway 700,Columbia,MD,21044,275305396,FINANCING,DE,ECLF
201602149349300040,521231931,COMMUNITY WEATHERIZATION LLC,501 7TH AVENUE 7TH FLOOR,NEW YORK,NY,10018,272173025,AFFORD HSGING,DE,ECP INC
201602159349300225,410832480,THE COMMUNITY INVESTMENT GROUP,101 FIFTH STREET EAST SUITE 2400,SAINT PAUL,MN,55101,411765364,INVESTMENT PARTNERSHIP,MN,THE SAINT PAUL FOUNDATION,INVESTMENT,8967150,166750046,0,0,0.29160
201602229349301885,943281780,NewSchools Seed Fund LP,1970 Broadway Suite 350,Oakland,CA,94612,To Hold PRI investments made by NSVF prior to 2016,CA,New Schools Fund,Related,0,0,0.80000
201602229349301885,943281780,NewSchools Capital LLC,532 Emerson Street,Palo Alto,CA,94301,473212503,To manage new PRI investments in ED Tech.,CA,N/A,Related,-58099,0,0,0.50000
201632289349306638,841559406,1028 Howard St Associates,1999 Broadway Suite 1000,Denver,CO,80202,943160742,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,104th Street LP,1999 Broadway Suite 1000,Denver,CO,80202,272755027,low-inc hsng,IL,na,RELATED,false,false
201632289349306638,841559406,1100 Ocean Avenue LP,1999 Broadway Suite 1000,Denver,CO,80202,454437017,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,1101 Howard St Associates,1999 Broadway Suite 1000,Denver,CO,80202,943160341,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,111 Jones Street Assoc (111 Jones St),1999 Broadway Suite 1000,Denver,CO,80202,943142765,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,1475 167th Avenue Assoc,1999 Broadway Suite 1000,Denver,CO,80202,943249328,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,16th & Church Street Assoc,1999 Broadway Suite 1000,Denver,CO,80202,943135262,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,180 Properties,1999 Broadway Suite 1000,Denver,CO,80202,270561021,low-inc hsng,IL,na,RELATED,false,false
201632289349306638,841559406,1760 Bush LP,1999 Broadway Suite 1000,Denver,CO,80202,473449006,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,1880 Pine LP,1999 Broadway Suite 1000,Denver,CO,80202,471291546,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,2000 Illinois Aurora LLC,1999 Broadway Suite 1000,Denver,CO,80202,462558442,low-inc hsng,IL,na,RELATED,false,false
201632289349306638,841559406,2101 Telegraph Avenue Assoc,1999 Broadway Suite 1000,Denver,CO,80202,943222935,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,2220 10th Avenue Assoc (Santana Apts),1999 Broadway Suite 1000,Denver,CO,80202,943140163,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,2698 California LP,1999 Broadway Suite 1000,Denver,CO,80202,473462784,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,2814 Fifth Street Associates LP,1999 Broadway Suite 1000,Denver,CO,80202,680340317,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,365 Fulton LP (Parcel G),1999 Broadway Suite 1000,Denver,CO,80202,261539223,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,4707 Malden Ltd Partnership,1999 Broadway Suite 1000,Denver,CO,80202,363762788,low-inc hsng,IL,na,RELATED,false,false
201632289349306638,841559406,5042 Winthrop Apartments LP,1999 Broadway Suite 1000,Denver,CO,80202,363855358,low-inc hsng,IL,na,RELATED,false,false
201632289349306638,841559406,55 Laguna LP,1999 Broadway Suite 1000,Denver,CO,80202,453582721,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,901 West 63rd LP (Englewood Apartments),1999 Broadway Suite 1000,Denver,CO,80202,261233617,low-inc hsng,IL,na,RELATED,false,false
201632289349306638,841559406,Acquisition Properties Georgia I,1999 Broadway Suite 1000,Denver,CO,80202,204465851,low-inc hsng,GA,na,RELATED,false,false
201632289349306638,841559406,Acquisition Properties Georgia II,1999 Broadway Suite 1000,Denver,CO,80202,204465972,low-inc hsng,GA,na,RELATED,false,false
201632289349306638,841559406,Adamsville Green LP,1999 Broadway Suite 1000,Denver,CO,80202,262252791,low-inc hsng,GA,na,RELATED,false,false
201632289349306638,841559406,Allegre Mercy Redevelopment LLLP,1999 Broadway Suite 1000,Denver,CO,80202,453540725,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Antioch Villas LP,1999 Broadway Suite 1000,Denver,CO,80202,270194197,low-inc hsng,GA,na,RELATED,false,false
201632289349306638,841559406,Appian Way Mercy LLC,1999 Broadway Suite 1000,Denver,CO,80202,911546525,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Aromor Mercy LLC (Aromor Apartments),1999 Broadway Suite 1000,Denver,CO,80202,300296042,low-inc hsng,CO,na,RELATED,false,false
201632289349306638,841559406,Bayshore Court,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Belray Apartments,1999 Broadway Suite 1000,Denver,CO,80202,364027474,low-inc hsng,IL,na,RELATED,false,false
201632289349306638,841559406,Bennett House LP,1999 Broadway Suite 1000,Denver,CO,80202,651308081,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,Bishops Block (Bishops Block),1999 Broadway Suite 1000,Denver,CO,80202,010477157,low-inc hsng,IA,na,RELATED,false,false
201632289349306638,841559406,Bluff Mercy LLC,1999 Broadway Suite 1000,Denver,CO,80202,270954394,low-inc hsng,CO,na,RELATED,false,false
201632289349306638,841559406,Boise Senior 202 Owner LP,1999 Broadway Suite 1000,Denver,CO,80202,270992784,low-inc hsng,ID,na,RELATED,false,false
201632289349306638,841559406,Boundary Village,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Brentwood Green Valley Apts,1999 Broadway Suite 1000,Denver,CO,80202,943135990,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,Britton Street Assoc(Britton Court),1999 Broadway Suite 1000,Denver,CO,80202,943300509,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,Cambridge Apartments,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Cascade Apartments,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Cascade Village,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Cedarwood I,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Cedarwood IV,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Centro Partners,1999 Broadway Suite 1000,Denver,CO,80202,770295344,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,Cheney Gardens,1999 Broadway Suite 1000,Denver,CO,80202,201031378,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Coastside Senior Housing LP,1999 Broadway Suite 1000,Denver,CO,80202,452262853,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,Colonia San Martin Associates LP,1999 Broadway Suite 1000,Denver,CO,80202,830481233,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,Commons on Main LP,1999 Broadway Suite 1000,Denver,CO,80202,208033896,low-inc hsng,OH,na,RELATED,false,false
201632289349306638,841559406,Countryside Senior Apartments LP,1999 Broadway Suite 1000,Denver,CO,80202,261483851,low-inc hsng,IL,na,RELATED,false,false
201632289349306638,841559406,Danville Veterans Housing LLC,1999 Broadway Suite 1000,Denver,CO,80202,352441770,low-inc hsng,IL,na,RELATED,false,false
201632289349306638,841559406,Dorothy Day Community LP,1999 Broadway Suite 1000,Denver,CO,80202,651308078,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,Dove Family Housing Associates LP,1999 Broadway Suite 1000,Denver,CO,80202,330975782,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,Eden House LP,1999 Broadway Suite 1000,Denver,CO,80202,462704216,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,El Monte LP,1999 Broadway Suite 1000,Denver,CO,80202,461360554,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,Evergreen Manor,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Evergreen Vista 1 Owner LP,1999 Broadway Suite 1000,Denver,CO,80202,274160484,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Family Tree & Lincoln Way LLLP,1999 Broadway Suite 1000,Denver,CO,80202,462841485,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Ferndale Villa,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Fircrest,1999 Broadway Suite 1000,Denver,CO,80202,770601463,low-inc hsng,WA,na,RELATED,false,false
201632289349306638,841559406,Florin Wood Assoc,1999 Broadway Suite 1000,Denver,CO,80202,680318012,low-inc hsng,CA,na,RELATED,false,false
201632289349306638,841559406,Franciscan Homes III LP,1999 Broadway Suite 1000,Denver,CO,80202,311394513,low-inc hsng,OH,na,RELATED,false,false
201632289349306638,841559406,Franciscan Homes IV LP,1999 Broadway Suite 1000,Denver,CO,80202,311463371,low-inc hsng,OH,na,RELATED,false,false
201632289349306638,841559406,Galewood SLF Associates LP,1999 Broadway Suite 1000,Denver,CO,80202,201882654,low-inc hsng,IL,na,RELATED,false,false
201632289349306638,841559406,Grayslake senior housing,1999 Broadway Suite 1000,Denver,CO,80202,263800351,low-inc hsng,IL,na,RELATED,false,false
