object_id,ein,BndRfrncCd,BsnssNmLn1Txt,BndIssrEIN,BndIssdDt,IssPrcAmt,PrpsDsc,DfsdInd,OnBhlfOfIssrInd,PlFnncngInd
201510859349300331,135562314,A,DORMITORY AUTHORITY OF THE STATE OF NY (DASNY),146000293,649907JB9,2013-03-07,104775845,FUND NEW CAPITAL PROJECTS,false,false,false
201510859349300331,135562314,B,WESTCHESTER COUNTY LOCAL DEVELOPMENT CORPORATION,455135578,95737TBD7,2014-04-03,99996810,FINANCE UNIVERSITY CONSTRUCTION,false,false,false
201520989349300612,042104229,A,MHEFA SERIES K,042456011,57586cv77,2008-04-03,68920000,"REFINANCE SERIES I, J, PARTIAL G",false,false,false
201520989349300612,042104229,B,MHEFA SERIES L,042456011,57586ELC3,2009-08-05,22197354,CONSTRUCT 250 BED RESIDENCE HALL,false,false,false
201520919349300232,340714818,A,OHIO HIGHER EDUCATIONAL FACILITY COMMISSION,346849674,67756AWD0,2006-07-06,20694366,"REFUNDING,DORMITORY AND OTHER CAPITAL PROJECTS",0,0,0
201510909349300771,231639911,A,PENNSYLVANIA HIGHER EDUCATION FACILITIES AUTHORITY,232243852,70917PGP9,2006-04-19,18367163,BUILDING IMPROVEMENTS AND EQUIPMENT,0,0,0
201510899349300616,560532297,A,NC CAP FACS FIN AGY EDL FACS REV,561592154,65818PEU9,2007-04-02,13550000,REFINANCE OLD ISSUE-FIX RATES-SELL OWN BONDS,0,0,0
201520869349300342,381358014,A,Michigan Finance Authority,800596186,2011-06-09,34250000,"Refunding 2000,2003,2007 & construct & equip athletics facilities & fields",0,0,0
201500909349300210,820200907,A,PUBLIC FINANCE AUTHORITY,273866124,2013-12-20,19080000,SEE PART VI,0,0,0
201520869349300737,410693979,A,MNHEFA - Series 6-O,410988525,60416HKK9,2007-03-29,46207404,Construction & Refunding,true,false,false
201520869349300737,410693979,B,MNHEFA - Series 7-F,410988525,60416HTL8,2010-08-31,34045664,Refi variable rate debt,false,false,false
201501059349300730,030179424,A,VERMONT EDUCATIONAL & HEALTH BUILDINGS FINANCING AGENCY,237154467,924166CK5,2008-06-11,78200000,CONSTRUCTION FINANCING,0,0,0
201501059349300730,030179424,B,VERMONT EDUCATIONAL & HEALTH BUILDINGS FINANCING AGENCY,237154467,924166FP1,2013-12-23,24515000,CONSTRUCTION FINANCING,0,0,0
201501059349300825,480543772,A,KANSAS INDEPENDENT COLLEGE FINANCE AUTHORITY,481233911,48526HRK4,2008-03-18,14725000,SEE PART VI.,false,false,false
201511039349300316,741143128,A,CITY OF OLMOS PARK TX HIGHER ED CORP SERIES 2007,521830729,XXXXXXXXX,2007-12-13,8500000,RESIDENCE CONSTRUCTION PROJECT,false,false,false
201511039349300316,741143128,B,CITY OF OLMOS PARK TX HIGHER ED CORP SERIES 2007,521830279,XXXXXXXXX,2008-02-26,10000000,RESIDENCE CONSTRUCTION PROJECT,false,false,false
201511039349300316,741143128,C,SAN ANTONIO TEXAS EDUCATION FACILITIES CORP,521830729,XXXXXXXXX,2010-07-28,8724000,REFINANCING 1999 REVENUE BONDS,false,false,false
201541109349300314,560532144,A,NORTH CAROLINA CAPITAL FACILITIES FINANCE AGENCY,561592154,65818PCX5,2003-07-02,15355000,"REFUND PRIOR ISSUE DATED 9/21/97, EXPANSION AND RENOVATIONS",0,0,0
201531129349300433,210634981,A,NEW JERSEY EDUCATIONAL FACILITIES AUTHORITY 2007,221829511,646065KQ4,2007-07-19,27196077,Advance Refunding & Constructions,false,false,false
201531129349300433,210634981,B,NEW JERSEY EDUCATIONAL FACILITIES AUTH 2004A2006A,221829511,64605LFQ6,2004-04-14,2702688,Financing Capital Improv (see part,false,false,false
201531129349300433,210634981,C,NEW JERSEY EDUCATIONAL FACILITIES AUTHORITY 2007,221829511,2007-09-28,1050000,Purchase Property,false,false,false
201541059349301114,750800653,A,CITY OF HUDSON OAKS TX,751902101,2004-07-20,8650000,REFINANCING/CAPITAL IMPROV.,false,false,false
201541059349301134,590624440,A,Higher Educational Facili,900058227,34073TDT1,2012-03-14,48635258,Refund 02 OCEFA & Renovations,false,false,false
201541059349301134,590624440,B,Higher Educational Facili,900058227,34073TBU0,2010-04-29,37121260,Refund 08 OCEFA/Renovate capit,false,false,false
201541059349301134,590624440,C,Orange County Educational,593445650,684499BV7,2007-09-07,25581853,Acquire/construct educational,false,false,false
201501049349300005,160755807,A,NIAGARA AREA DEVELOPMENT CORPORATION,900764545,653541AT9,2012-05-03,41900000,CAPITAL IMPROVEMENT TO MAIN CAMPUS,0,0,0
201501049349300005,160755807,B,NIAGARA AREA DEVELOPMENT CORPORATION,900764545,653541ATU,2012-05-03,4705000,REFUNDING OF OUTSTANDING VARIABLE RATE SERIES 2000B,0,0,0
201521049349300802,251120678,RetDoc1053100001,A,ALLEGHENY CO HIGHER EDUCATION BUILDING AUTH,251425398,01728REG0,2006-04-01,1270000,REFINANCE 96 BONDS,0,0,0
201521049349300802,251120678,RetDoc1053100001,B,ALLEGHENY CO HIGHER EDUCATION BUILDING AUTH,251425398,01728REH8,2006-04-01,8410000,REFINANCE 96 BONDS,0,0,0
201521049349300802,251120678,RetDoc1053100001,C,ALLEGHENY CO HIGHER EDUCATION BUILDING AUTH,251425398,01728RFR5,2008-08-01,380000,CAMPUS BUILDING CONSTRUCTION,0,0,0
201521049349300802,251120678,RetDoc1053100001,D,ALLEGHENY CO HIGHER EDUCATION BUILDING AUTH,251425398,01728RFT1,2008-08-01,820000,CAMPUS BUILDING CONSTRUCTION,0,0,0
201541009349300909,160743989,A,Dormitory Authority of the State of New York,146000293,2012-05-30,25410000,"finance the construction of the 2008 project, to refund and defease",0,0,0
201541009349300909,160743989,B,Dormitory Authority of the State of New York,146000293,2012-04-25,9355000,Refinance and consolidate two older debt issuances,0,0,0
201521109349300332,340714687,A,STATE OF OHIO HIGHER EDUCATION FACILITY,346849674,67756BSH4,2006-07-26,16408159,STUDENT RESIDENCE - NEW FACILITIES,false,false,false
201521109349300332,340714687,B,STATE OF OHIO HIGHER EDUCATION FACILITY,346849674,67756A2G6,2010-07-26,11204308,STUDENT RESIDENCE - NEW AND RENOVA,false,false,false
201521109349300512,350868127,A,Wabash County Indiana,356000208,2013-03-22,9000000,Refunding (Series 2002) REFD (Series 1995) Bond,0,0,0
201531039349300733,111630830,R000011,A,DASNY St Johns University Series 2007A,146000293,649903EN7,2007-02-22,123473592,Finance construction of various site developments and campus improvements,0,0,0
201531039349300733,111630830,R000011,B,DASNY St Johns University Series 2007C,146000293,649903EN7,2007-02-22,138318912,"Refund 1996, 1998 & 2001A Bonds",0,0,0
201531039349300733,111630830,R000011,C,DASNY St Johns University Series 2008B1 & 2008B2,146000293,649903302,2008-09-24,135540000,"Refund Series 2005B, 2005C and 2007B",0,0,0
201531039349300733,111630830,R000011,D,DASNY St Johns University Series 2012A,146000293,649906Rxx,2012-08-09,55493238,"Refund Series 1998, 2001A and 2005A Bonds",0,0,0
201531059349300523,750800691,A,Hackberry Cultural Education Facilities FInancial,752237898,xxxxxxxxx,2012-07-26,12400000,Promissory Note (TWU) series 2012,true,false,false
201511049349300316,042199867,A,MASSACHUSETTS DEVELOPMENT FINANCE,043431814,57583FQ79,2003-06-25,9348682,CONSTRUCTION OF RESIDENCE HALL,true,false,false
201511049349300316,042199867,B,MASSACHUSETTS DEVELOPMENT FINANCE,043431814,57583RAV7,2005-05-27,19671813,SEE DESCRIPTION IN PART VI,false,false,false
201511049349300316,042199867,C,MASSACHUSETTS DEVELOPMENT FINANCE,043431814,57583RGB5,2006-08-16,35514127,SEE DESCRIPTION IN PART VI,false,false,false
201511049349300316,042199867,D,MASSACHUSETTS DEVELOPMENT FINANCE,043431814,2013-12-20,42000000,SEE DESCRIPTION IN PART VI,false,false,false
201511019349300016,350867977,IRS990ScheduleK,A,INDIANA FINANCE AUTHORITY,521698917,2011-09-21,17275000,REFUND PTN SERIES 2001 BONDS,false,false,false
201511019349300016,350867977,IRS990ScheduleK,B,INDIANA FINANCE AUTHORITY,521698917,2011-09-21,13360000,REFUND PTN SERIES 2004 BONDS,false,false,false
201511019349300016,350867977,IRS990ScheduleK,C,INDIANA FINANCE AUTHORITY,521698917,2011-09-21,10110000,"CONSTRUCTION, HVAC, AND ENERGY MGM",false,false,false
201511019349300016,350867977,IRS990ScheduleK,D,INDIANA FINANCE AUTHORITY,521698917,4550573HO,2012-04-25,15305000,REFUND PTN SERIES 2001 BONDS,false,false,false
201521009349300537,750800689,A,2007 SOUTHWEST HIGHER EDUCATION,521442059,845040GD0,2007-02-14,100890740,ADVANCE REFUND & DEFEASE A PORTION,false,false,false
201521009349300537,750800689,B,2009 SOUTHWEST HIGHER EDUCATION,521442059,845040HG2,2009-10-01,162035907,FINANCE NEW MONEY PROJECTS AND CURRENTLY REFUND,false,false,false
201521009349300537,750800689,C,2010 SOUTHWEST HIGHER EDUCATION,521442059,845040JB1,2010-10-28,124998461,FINANCE NEW MONEY PROJECTS.,false,false,false
201521009349300537,750800689,D,2013 SOUTHWEST HIGHER EDUCATION,521442059,845040JZ8,2013-04-16,107014349,FINANCE NEW MONEY PROJECTS.,false,false,false
201501039349300415,141338498,A,DORMITORY AUTHORITY STATE OF NY,146000293,14983QD48,2006-05-04,27942152,FINANCE CONSTRUCTION: RENOVATION,false,false,false
201501039349300415,141338498,B,DORMITORY AUTHORITY STATE OF NY,146000293,649905YX1,2009-12-11,20660808,CONSTRUCTION OF RESIDENCE HALL,false,false,false
201501059349300245,362167770,A,Illinois Finance Authority,861091967,45200FMP1,2008-08-21,6000000,Construction Recreational Facility,0,0,0
201501059349300245,362167770,B,Illinois Finance Authority,861091967,45203HJU7,2012-07-24,16375152,Construction of Residence Hall,0,0,0
201501049349301110,231352674,RetDoc1053100001,A,2003 PA HIGHER EDUCATION FACILITIES AUTHORITY,232243852,70817NTW4,2003-01-30,35473150,CURRENT REFUND OF MONTGOMERY CTY BONDS,0,0,0
201501049349301110,231352674,RetDoc1053100001,B,2008 PA HIGHER EDUCATION FACILITIES AUTHORITY,232243852,709179HH5,2008-05-09,48580000,CURRENT REFUND OF ISSUER'S SERIES 2001A & 2006,0,0,0
201501049349301110,231352674,RetDoc1053100001,C,2010 PA HIGHER EDUCATION FACILITIES AUTHORITY,232243852,70917RL94,2010-10-01,162637233,"CURRENT REFUNDING OF VARIOUS ISSUES, MISC",0,0,0
201501049349301110,231352674,RetDoc1053100001,D,2013 PA HIGHER EDUCATION FACILITIES AUTHORITY,232243852,NONEAVAIL,2013-01-31,8000000,PURCHASE OF 5800 CITY AVENUE,0,0,0
201511059349301106,420680412,A,IOWA HIGHER EDUCATION LOAN AUTHORITY,421235696,462460ZC3,2006-10-01,22035000,"REFINANCE 1996 ISSUE, CONSTRUCTION",0,0,0
201511059349301106,420680412,B,IOWA HIGHER EDUCATION LOAN AUTHORITY,421235696,NONEAVAIL,2011-11-01,2500000,REFINANCE PORTION OF 2002 ISSUE,0,0,0
201521049349300007,560529999,A,NC CAPITAL FACILITIES FINANCE AGENCY,561592154,65818PJB6,2011-07-07,20332782,CAPITAL SPENDING,0,0,0
201521049349300007,560529999,B,NC CAPITAL FACILITIES FINANCE AGENCY,561592154,65818PJY6,2012-07-11,64868829,CAPITAL SPENDING,0,0,0
201541059349301404,741109661,A,Olmos Park Texas (see schedule O),521830729,681139AV3,2012-11-28,75716935,See Part VI,false,false,false
201531039349301203,610448560,A,CITY OF CRESTVIEW HILLS KY,611018215,2008-12-17,7180000,CURRENT REFUNDING OF SERIES 1998 AND SERIES 2001 BONDS,0,0,0
201541039349301159,741161940,IRS990ScheduleK.1,A,Wallis Higher Education Facilities Corporation,760599530,2005-01-18,6000000,Construct campus facility,false,false,false
201541039349301159,741161940,IRS990ScheduleK.1,B,Roman Forest Higher Educaiton Facilities Corp,200431603,2002-12-31,10000000,Construct campus facility,false,false,false
201541039349301159,741161940,IRS990ScheduleK.1,C,Crawford Higher Edu Corp,721536594,2009-07-15,5000000,Construct campus facility,false,false,false
201541039349301159,741161940,IRS990ScheduleK.1,D,Crawford Higher Edu Corp,721536594,2010-02-25,6000000,Construct campus facility,false,false,false
201541009349300504,590624401,A,CITY OF LAKELAND FLORIDA,596000354,511664AN4,2012-09-11,31289524,FINANCE/REFINANCE COSTS OF ACQUISTION,0,0,0
201541009349300504,590624401,B,CITY OF LAKELAND FLORIDA,596000354,511664AP9,2012-09-11,10000000,REFINANCE COSTS OF ACQUISTION,0,0,0
201541009349300514,460280847,A,City of Aberdeen,466000010,003252BJ1,2010-04-30,4401540,"Refund the August 3, 1999 Issue",0,0,0
201541009349300514,460280847,B,Brown County South Dakota,466000011,115432AS5,2013-05-30,9979461,Construct New Student Housing and Wellness Center,0,0,0
201511039349300821,741109633,A,SAN ANTONIO TX HIGHER ED,521351505,796247BA1,2011-06-29,20316444,REFUNDING AND CAPITAL IMPROVE,false,false,false
201511039349300821,741109633,B,SAN ANTONIO TX HIGHER ED,521351505,796247BB9,2014-01-07,50472444,CAPITAL IMPROVEMENT,false,false
201511039349300826,910916534,A,WASHINGTON HIGHER EDUCATION FACILITIES AUTHORITY,911306482,NONEAVAIL,2010-12-01,20323000,FINANCING AND REFINANCING COSTS ASSOCIATED WITH THE COLLEGE'S FACILITIES,0,0,0
201531059349300223,340714626,A,OHIO HIGHER EDUCATION FACILITIES COMMISSION,346849674,67756BYP9,2010-06-10,42735000,SEE SCHEDULE O FOR THE DESCRIPTION OF PURPOSE,0,0,0
201531059349300223,340714626,B,TUSCARAWAS COUNTY PORT AUTHORITY,300012117,2011-03-30,8900000,SEE SCHEDULE O FOR THE DESCRIPTION OF PURPOSE,0,0,0
201511049349301106,750827465,IRS990ScheduleK1,A,RED RIVER EDUCATION FINANCE CORPORATION S2010A,732791247,2010-12-02,120000000,TO FINANCE STADIUM CONSTRUCTION,false,false,false
201511049349301106,750827465,IRS990ScheduleK1,B,RED RIVER EDUCATION FINANCE CORPORATION S2010,732791247,756872GJ0,2010-02-02,30384318,TO FINANCE CONSTRUCTION/REFUNDING,false,false,false
201511049349301106,750827465,IRS990ScheduleK1,C,RED RIVER EDUCATION FINANCE CORPORATION S2006A,732791247,756872DV6,2006-12-01,37385798,TO REFINANCE SERIES 1997 BONDS,false,false,false
201511049349301106,750827465,IRS990ScheduleK1,D,RED RIVER EDUCATION FINANCE CORPORATION S2006,732791247,756872DU8,2006-02-15,80000000,TO FINANCE CAMPUS CONSTRUCTION,false,false,false
201511049349301251,060646623,A,CHEFA Fairfield University Series M,060806186,20774UVX0,2008-04-10,39445697,Refund CHEFA Series K and Series L1 Second Tranche,0,0,0
201511049349301251,060646623,B,CHEFA Fairfield University Series N,060806186,20774UK87,2008-08-21,110773813,Refund CHEFA Series L1 and L2,0,0,0
201511049349301251,060646623,C,CHEFA Fairfield University Series O,060806186,20774UW50,2010-03-17,73474749,Construction of Various Campus Facilities,0,0,0
201511049349301251,060646623,D,CHEFA Fairfield University Series P,060806186,20774UY41,2010-03-17,11573281,Current Refunding of CHEFA Series H,0,0,0
201501049349300220,951643334,A,California Educational Facilities Authority,521705592,130178VP8,2010-03-30,67035951,"REFUNDING CEFA 2008, 1997, AND NEW",false,false,false
201501049349300220,951643334,B,California Educational Facilities Authority,521705592,130178V10,2010-03-30,38500000,CEFA REFUND SERIES 2008,false,false,false
201501049349300220,951643334,C,California Educational Facilities Authority,521705592,130178H25,2011-11-22,23629875,REFUNDING CEFA 2001A CIB,false,false,false
201501049349300235,362167048,IRS990ScheduleK,A,Illinois Finance Authority,861091967,45200BAT5,2004-03-25,52321189,See Part VI,false,false,false
201501049349300235,362167048,IRS990ScheduleK,B,Illinois Finance Authority,861091967,45189FCW2,2004-07-08,49755328,See Part VI,true,false,false
201501049349300235,362167048,IRS990ScheduleK,C,Illinois Finance Authority,861091967,45200BLN6,2005-03-16,46579779,See Part VI,false,false,false
201501049349300235,362167048,IRS990ScheduleK,D,Illinois Finance Authority,861091967,45200FKT5,2008-06-25,48126833,See Part VI,false,false,false
201501049349300400,930386972,A,STATE OF OREGON - OREGON FACILITIES AUTHORITY,936001787,00068608J,2007-06-14,32409522,"SEE SCHEDULE K, PART VI",0,0,0
201501049349300400,930386972,B,STATE OF OREGON - OREGON FACILITIES AUTHORITY,936001787,68608JMC2,2010-05-06,28540002,"SEE SCHEDULE K, PART VI",0,0,0
201511049349300521,042300472,A,MHEFA REVENUE BOND SERIES 2007A,042456011,57586CE27,2007-08-08,178014966,SEE SCHEDULE O,false,false,false
201511049349300521,042300472,B,MDFA REVENUE BONDS SERIES 2011,043431814,57583UJE9,2011-09-22,95437831,"PURCHASE LAND, BUILDING, EQUIPMENT",false,false,false
201511049349300521,042300472,C,MDFA REVENUE BONDS SERIES 2013,043431814,2013-08-01,15000000,"BUILDINGS, STRUCTURES AND EQUIPMEN",false,false,false
201501019349300605,440567385,A,HEALTH AND EDUCATIONAL FACILITIES AUTHORITY OF MO,431430093,60636AEN9,2012-09-26,14658194,REFUND 1998 & 2003 BONDS + 2.75MM,false,false,false
201521049349301037,141338562,A,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,146000293,64983TMS9,2004-04-29,32717482,STUDENT DORMITORIES,0,0,0
201521049349301037,141338562,B,SARATOGA COUNTY CAPITAL RESOURCE CORPORATION,461520521,803481BD1,2014-04-29,12490813,REFUND OF PRIOR ISSUE,0,0,0
201521049349301037,141338562,C,DORMITORY AUTHORITY OF THE STATE OF NEW YORK,146000293,649906CC6,2011-02-04,32363454,REFUND OF PRIOR ISSUE & STUDENT DORMITORIES,0,0,0
201531059349300003,560529953,A,LEES-MCRAE COLLEGE INCORPORATED,560529953,65818PCA5,2003-04-16,8250000,CONSTRUCTION-EDUCATIONAL FACILITIES & REFINANCE CAPITAL RELATED DEBT,0,0,0
201531059349300108,042104149,A,MASS DEVELOPMENT FINANCE AGENCY,043431814,57583RYB5,2008-06-11,28400000,REFUND 1999 BONDS AND CONSTRUCT A BUILDING ADDITION,0,0,0
201531059349300108,042104149,B,MASS DEVELOPMENT FINANCE AGENCY,043431814,NONEAVAIL,2011-10-26,14400000,CONSTRUCTION OF A RESIDENTIAL HALL,0,0,0
201501039349300140,231352615,A,THE BERKS COUNTY MUNICIPAL AUTHORITY,236647630,084536GQ8,2004-01-08,23861485,CONSTRUCTION OF FACILITY & REFUNDING OF PRIOR ISSUE (10/13/93),0,0,0
201501039349300140,231352615,B,THE BERKS COUNTY MUNICIPAL AUTHORITY,236647630,2013-12-30,10000000,REFUND PRIOR ISSUE (12/30/10),0,0,0
201501039349300140,231352615,C,THE BERKS COUNTY MUNICIPAL AUTHORITY,236647630,2013-12-30,10000000,REFUND PRIOR ISSUE (12/30/10),0,0,0
201501039349300140,231352615,D,THE BERKS COUNTY MUNICIPAL AUTHORITY,236647630,2013-12-30,5500000,REFUND PRIOR ISSUE (12/30/10),0,0,0
201501039349300210,150545841,A,DORMITORY AUTHORITY OF NY STATE,146000293,6499037P0,2009-01-22,19470000,CAMPUS-WIDE RENOVATION/REFUNDING,false,false,false
201501039349300210,150545841,B,ONONDAGA CIVIC DEVELOPMENT CORP,800458240,682832AJ9,2010-07-15,25069329,CAMPUS-WIDE RENOVATION,false,false,false
201501039349300210,150545841,C,ONONDAGA CIVIC DEVELOPMENT CORP,800458240,682832BN9,2012-10-30,18765856,CAMPUS-WIDE RENOVATION/REFUNDING,false,false,false
201521059349300832,750808791,A,Bank of America,941687665,2007-08-31,4748000,Capital Projects,false,false
201521059349300832,750808791,B,Stamford High Ed Fac Corp,752780581,2013-04-30,7482000,Refinance,false,false
201501059349300625,710236897,A,Public Facilities Board of City of Conway Arkansas,Series 2008 A&B (Composite),720236897,21259QXXX,2008-05-20,23680929,Capital Improvements,0,0,0
201501059349300625,710236897,B,Arkanas Development Finance Authority,Series 2012 A&B (Composite),710503641,04108KXXX,2012-08-07,45030066,Refinance Existing Debt and Capital Improvements,0,0,0
201501059349300625,710236897,C,Arkanas Development Finance Authority,Series 2012C,710503641,04108KXXX,2012-08-27,8105000,Athletics Facilities,0,0,0
201501119349300145,951921340,A,CALIFORNIA EDUCATIONAL FACILITIES AUTHORITY,521705592,130178TR7,2009-08-13,9940000,CONSTRUCT SOUTH CAMPUS CLASSROOMS; REFINANCE EXISTING TAXABLE LOAN,0,0,0
201501119349300145,951921340,B,CALIFORNIA EDUCATIONAL FACILITIES AUTHORITY,521705592,130178K54,2012-02-07,20000000,"ACQUISITION, CONSTRUCTION, IMPROV. AND/OR EQUIPPING OF EDUC. FACILITIES.",0,0,0
201531079349300308,581216007,A,DEVELOPMENT AUTHORITY OF THE CITY OF MARIETTA,567656dd2,2008-08-01,8516716,UNIVERSITY FACILITY & REFUNDING,false,false,false
201531079349300308,581216007,B,DEVELOPMENT AUTHORITY OF THE CITY OF MARIETTA,567656de0,2008-08-01,19890040,UNIVERSITY FACILITY & REFUNDING,false,false,false
201531079349300308,581216007,C,DEVELOPMENT AUTHORITY OF THE CITY OF MARIETTA,567656df7,2008-08-01,41113888,UNIVERSITY FACILITY & REFUNDING,false,false,false
201511129349300436,221508627,A,NJ EDUCATIONAL FACILITIES AUTHORITY,221829511,2007-12-28,36053466,REFINANCE EXISTING DEBT & FUND CAP,false,false,false
201511129349300436,221508627,B,NJ EDUCATIONAL FACILITIES AUTHORITY,221829511,2008-07-01,5000000,FUND CAPITAL PROJECTS,false,false,false
201511129349300436,221508627,C,NJ EDUCATIONAL FACILITIES AUTHORITY,221829511,2011-09-29,24925000,FUND CAPITAL PROJECTS,false,false,false
201511039349301351,910236600,RetDoc1053100001,A,WA HIGHER EDUCATION FACILITIES AUTHORITY,911306482,939781H78,2010-01-07,43655830,SEE BELOW,0,0,0
201511039349301351,910236600,RetDoc1053100001,B,WA HIGHER EDUCATION FACILITIES AUTHORITY,911306482,939781E71,2009-10-01,56059066,SEE BELOW,0,0,0
201511039349301351,910236600,RetDoc1053100001,C,WA HIGHER EDUCATION FACILITIES AUTHORITY,911306482,939781C73,2009-03-30,39276504,SEE BELOW,0,0,0
201511039349301351,910236600,RetDoc1053100001,D,WA HIGHER EDUCATION FACILITIES AUTHORITY,911306482,2012-08-07,10625000,SEE BELOW,0,0,0
201531039349300443,590624458,A,Miami-Dade Co Educ Fac Authority,596000573,59333AFW6,2007-04-26,473302567,"See Schedule K, Part VI",0,0,0
201531039349300443,590624458,B,Miami-Dade Co Educ Fac Authority,596000573,59333AJW2,2008-05-08,293597924,"See Schedule K, Part VI",0,0,0
201531039349300443,590624458,C,Miami-Dade Co Educ Fac Authority,596000573,59333ALR0,2012-12-12,106138985,"See Schedule K, Part VI",0,0,0
201531039349300543,620465076,IRS990ScheduleK1,A,HEALTH AND EDUCATIONAL FACILITIES BOARD OF THE METROPOLITAN GOVERNMENT OF N,ASHVILLE AND DAVIDSON COUNTY TN (2012A),626139016,2012-05-30,50900000,REFUNDING BOND ISSUE,false,false,false
201531039349300543,620465076,IRS990ScheduleK1,B,HEALTH AND EDUCATIONAL FACILITIES BOARD OF METROPOLITAN GOVERNMENT OF NASHV,ILLE AND DAVIDSON COUNTY TENNESSEE,626139016,2010-01-04,23000000,CONSTRUCTION OF CAMPUS FACILITIES,false,false,false
201531039349300543,620465076,IRS990ScheduleK1,C,HEALTH AND EDUCATIONAL FACILITIES BOARD OF METROPOLITAN GOVERNMENT OF NASHV,ILLE AND DAVIDSON COUNTY TENNESSEE,626139016,592041TS6,2012-05-30,59162825,CONSTRUCTION OF CAMPUS FACILITIES,false,false,false
201531039349300543,620465076,IRS990ScheduleK1,D,HEALTH AND EDUCATIONAL FACILITIES BOARD OF THE METROPOLITAN GOVERNMENT OF N,ASHVILLE AND DAVIDSON COUNTY TN,626139016,2013-06-14,40100000,CONSTRUCTION OF CAMPUS FACILITIES,false,false,false
201541039349300544,160743040,A,CITY OF GENEVA INDUSTRIAL DEVELOPMENT AGENCY MULTI,161266095,372175bt5,2007-12-01,31250000,CAPITAL PROJECTS,false,false,false
201541039349300544,160743040,B,CITY OF GENEVA DEVELOPMENT CORP REVENUE,162366095,37217PAP0,2012-06-28,26695000,BOND REFUNDING,false,false,false
201541039349300544,160743040,C,CITY OF GENEVA DEVELOPMENT CORP REVENUE,162366095,37217PBL8,2014-03-06,14295000,CAPITAL PROJECTS,false,false,false
201511209349300246,941358307,A,CA Statewide Comm Dev Aut,680164610,2012-08-01,7000000,Retire 5/1/98 bonds; cap imp,false,false,false
201511209349301011,060662150,A,CONNECTICUT HEALTH AND EDUCATIONAL FACILITIES AUTHORITY,060806186,2010-11-02,14300000,"REFINANCE DEBT, CONSTRUCTION OF BUILDING AND RENOVATIONS",0,0,0
201541179349300639,620476301,A,The Health Educational and Housing Facility,521283414,821697E70,2011-04-13,31991283,Construction of Dormitory and Refectory,false,false,false
201511269349301446,710236896,990K:1,A,Public Educational and Residential Housing Facilities Board,521595697,8211546X2,2010-02-11,14207054,Dormitory Renovation and Refunding 12/16/98 6/26/0112/30/03,false,false,false
201511269349301446,710236896,990K:1,B,Public Educational and Residential Housing Facilities Board,521595697,812254JV3,2010-12-22,4275306,Dormitory Renovation,false,false,false
201511269349301446,710236896,990K:1,C,Public Educational and Residential Housing Facilities Board,521595697,812254KR0,2011-10-20,8509929,Student Apartment Construction,false,false,false
201511269349301446,710236896,990K:1,D,Public Educational and Residential Housing Facilities Board,521595697,812254LK4,2012-04-19,7512201,Refunding 4/19/05 Issue and Student Apartment Construction,false,false,false
201511279349301381,420703280,A,IOWA HIGHER EDUCATION LOAN AUTHORITY,421235696,462460QU3,2003-04-02,37795000,SEE PART VI,0,0,0
201511279349301381,420703280,B,IOWA HIGHER EDUCATION LOAN AUTHORITY,421235696,462460D52,2008-04-01,20000000,SEE PART VI,0,0,0
201511279349301381,420703280,C,IOWA HIGHER EDUCATION LOAN AUTHORITY,421235696,46246OU38,2011-12-16,11953875,SEE PART VI,0,0,0
201531149349300613,042002060,A,MASSACHUSETTS DEVELOPMENT FINANCE AGENCY,043431814,2010-09-30,26820000,REFINANCE/CONSTRUCTION,0,0,0
201521189349301017,580566212,A,Development Authority of the Unified Government of Athens-Clarke County GA,581911146,2013-02-22,6100000,Purchase Athens Facilities and refunding of 2006 bond,0,0,0
201521189349301017,580566212,B,The Habersham County Development Authority,521367808,2013-04-03,10000000,Finance Student Commons building,0,0,0
201521279349301447,546039600,A,CITY OF VB DEV AUTH,540947964,NONEAVAIL,2012-09-28,31159119,REFINANCE OF ADDL FACILITIES,0,0,0
201531209349300203,841029228,A,COLORADO EDUCATION & CULTURAL FACILITIES AUTHORITY SERIES 2013B,840896727,NONEAVAIL,2013-11-01,7454082,REFUND OF 2005 BOND ISSUE AND CAPITAL IMPROVEMENTS,0,0,0
201531149349300323,540129860,A,INDUST DEVELOP AUTHOR OF CITY OF DANVILLE VA,521321074,2010-12-17,15000000,"REFUND EXISTING BONDS, CAPITAL IMPROVEMENTS; WORKING CAPITAL",0,0,0
201541149349300514,231365954,RetDoc1053100001,A,MONTGOMERY COUNTY HIGHER EDUCATION AND HEALTH AUTHORITY,232447147,613603RZ4,2006-05-18,44091361,REFINANCING AND CONSTRUCTION,0,0,0
201541149349300514,231365954,RetDoc1053100001,B,CUMBERLAND COUNTY MUNICIPAL AUTHORITY,236003119,23061NBX4,2007-06-01,23675635,CONSTRUCTION,0,0,0
201541149349300514,231365954,RetDoc1053100001,C,CUMBERLAND COUNTY MUNICIPAL AUTHORITY,236003119,23061NCP0,2008-03-31,18277445,REFINANCING,0,0,0
201541149349300514,231365954,RetDoc1053100001,D,CUMBERLAND COUNTY MUNICIPAL AUTHORITY,236003119,23061NCR6,2009-09-30,10000000,CONSTRUCTION,0,0,0
201521199349301252,540525605,R000010,A,Virginia College Building Authority,541249154,2011-12-09,36455000,Education Facilities,0,0,0
