object_id,ein,RltdOrgnztnNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,IdRltdOrgTxblPrtnrshp_EIN,IdRltdOrgTxblPrtnrshp_PrmryActvtsTxt,IdRltdOrgTxblPrtnrshp_LglDmclSttCd,DrctCntrllngEnttyNm_BsnssNmLn1Txt,IdRltdOrgTxblPrtnrshp_PrdmnntIncmTxt,IdRltdOrgTxblPrtnrshp_ShrOfTtlIncmAmt,IdRltdOrgTxblPrtnrshp_ShrOfEOYAsstsAmt,IdRltdOrgTxblPrtnrshp_DsprprtntAllctnsInd,IdRltdOrgTxblPrtnrshp_GnrlOrMngngPrtnrInd,IdRltdOrgTxblPrtnrshp_OwnrshpPct
201930659349300838,520591694,WMC CONFERENCE CENTER LP,2 COLLEGE HILL,WESTMINSTER,MD,21157,521698697,HOTEL SERVICES,MD,N/A
201803199349312665,550753754,Women and Children's Medical Office Building LLC,PO Box 1547,Charleston,WV,253261547,550669065,Medical Office Building,WV,N/A
201803199349312665,550753754,General Division Medical Office Building LLC,PO Box 1547,Charleston,WV,253261547,550623949,Medical Office Building,WV,N/A
201803199349315015,111635088,BIPO HOLDINGS LLC,992 N VILLAGE AVE ROCKVILLE CENTRE,ROCKVILLE CENTRE,NY,11570,464763720,PHYSICIAN ASSN,NY,NA,N/A
201803199349315015,111635088,IDHC LLC,2500 YORK RDJAMISONPA 18929,JAMISON,PA,18929,452411095,HEALTH SERVICES,PA,NA,N/A
201803199349315015,111635088,BEACON HEALTH PTNRS,992 N VILLAGE AVE ROCKVILLE CENTRE,ROCKVILLE CENTRE,NY,11570,454229842,HEALTHCARE,NY,NA,N/A
201803199349315015,111635088,WISDOM GARDENS LP,51 TERRYVILLE RD,PORT JEFFERSON,NY,11776,113567947,SR HOUSING,NY,NA,N/A
201813199349302226,570828733,Lowcountry Surgery Center LLC (dba Roper St Francis Eye Surgery Center),8536 Palmetto Commerce Pkwy Ste 201,Ladson,SC,29456,581693021,Eye Surgery,SC,Roper Hospital Inc,Related,106659,309922,0,1,0.64650
201813199349302226,570828733,RSFH - ATI Physical Therapy LLC,125 Doughty St Ste 760,Charleston,SC,29403,474797980,Physical Therapy,SC,N/A
201931349349308178,314379459,HISTORIC GRANVILLE INN LLC,100 WEST COLLEGE ST,GRANVILLE,OH,43023,463962871,RENTAL,OH,GRANVILLE INN HOLDINGS INC,EXCLUDED,-113459,11138666,0,0,0.89000
201931349349308368,231352630,3509 SPRING GARDEN LP,3201 ARCH ST STE 420,PHILADELPHIA,PA,19104,462116704,REAL ESTATE,PA,0,0
201931349349308368,231352630,3509 SPRING GARDEN MT LP,3201 ARCH ST STE 420,PHILADELPHIA,PA,19104,463273473,REAL ESTATE,PA,0,0
201931349349308368,231352630,DREXEL UNIVERSITY CITY DEVELOPMENT LLC,3201 ARCH ST STE 420,PHILADELPHIA,PA,19104,464883724,REAL ESTATE INVESTMENT,PA,0,0
201931349349308368,231352630,1200 CHESTNUT STREET I LP,3201 ARCH ST STE 420,PHILADELPHIA,PA,19104,814692503,REAL ESTATE,PA,0,0
201931349349308368,231352630,3205 LANCASTER AVE I LLC,3201 ARCH ST STE 420,PHILADELPHIA,PA,19104,824365047,REAL ESTATE,PA,0,0
201803189349304600,710236856,ORTHOARK SURGERY,10301 KANIS ROAD,LITTLE ROCK,AR,72205,710818555,ORTHOPEDIC,AR,BAPTIST HEALTH,RELATED,1026906,167575,false,0,false,0.51000
201803189349304600,710236856,AUTUMN ROAD LLC,PO BOX 3730,LITTLE ROCK,AR,72203,710786625,REAL ESTATE,AR,NA,N/A,false,false
201803189349304600,710236856,MAUMELLE FAMILY,11001 EXECUTIVE CENTER DRIVE SUITE,LITTLE ROCK,AR,72211,710824329,MEDICAL CARE,AR,NA,N/A,false,false
201803189349304600,710236856,AMERICAN DATA NTWK,10809 EXECUTIVE CENTER DRIVE,LITTLE ROCK,AR,72211,710849746,DATA SERVICES,AR,BAPTIST HEALTH,RELATED,58932,1224562,false,0,true,0.57417
201803189349304600,710236856,SPRINGHILL SURGERY CENTER,3401 SPRINGHILL DR STE 155,NORTH LITTLE ROCK,AR,72117,621712554,SURGERY SERVI,AR,BAPTIST HEALTH,UNRELATED,685845,2260444,false,false,0.52356
201803189349304600,710236856,TWO FINANCIAL CENTRE HOLDING CO LLC,9601 BAPTIST HEALTH DRIVE,LITTLE ROCK,AR,72205,814970489,REAL ESTATE,AR,NA,N/A,false,false
201803189349304600,710236856,BH CENTER FOR CLINICAL RESEARCH LLC,9601 BAPTIST HEALTH DR STE 250,LITTLE ROCK,AR,72205,455503799,CLINICAL RESE,AR,NA,N/A,false,false
201901299349301245,582032904,COBB SOUTH PARKING DECK,793 SAWYER ROAD,MARIETTA,GA,300622222,752999669,Parking,GA,NA,N/A
201901299349301245,582032904,KENNESTONE EAST PARKING DECK LLC,793 SAWYER ROAD,MARIETTA,GA,30060,200537100,PARKING,GA,NA,N/A
201901299349301245,582032904,GRIFFIN IMAGING LLC,793 SAWYER ROAD,MARIETTA,GA,300622222,IMAGING CENTER,GA,NA,N/A
201901299349301245,582032904,TENET EMSSPALDING 911 LLC,793 SAWYER ROAD,MARIETTA,GA,300622222,OFF. BLDG/EMS CTR,GA,NA,N/A
201901299349301245,582032904,NORTH FULTON PARKING DECK LP,793 SAWYER ROAD,MARIETTA,GA,300622222,PARKING,GA,NA,N/A
201803189349308420,160743102,OLEAN GENERAL HEALTHCARE SYSTEMS LLC,85 WOODRIDGE DRIVE,AMHERST,NY,14228,161544460,"PROVIDER OF DURABLE MEDICAL EQUIPMENT, HOME CARE PRODUCTS, AND SERVICES",NY,N/A
201833139349301123,541547408,MANAGEMENT SERVICES LLC,814 GREENBRIER CIRCLE,CHESAPEAKE,VA,23320,541365012,HLTH MGT SV,VA,N/A
201833139349301123,541547408,MANAGEMENT SERVICES LLC,814 GREENBRIER CIRCLE,CHESAPEAKE,VA,23320,541365012,HLTH MGT SV,VA,SH,UNRELATED,90082,253066,0,1,0.20000
201833139349301123,541547408,OBICI REAL ESTATE HOLDINGS LLC,6015 POPLAR HALL DRIVE,NORFOLK,VA,23502,261749881,RE RENTAL,VA,SH,RELATED,255894,3180937,0,1,0.61540
201833139349301123,541547408,PRINCESS ANNE AMB SURG MGT LLC,1975 GLENN MITCHELL STE 300,VA BEACH,VA,23456,204920880,HEALTH CARE,VA,SH,RELATED,1984088,3446313,0,1,0.51520
201833139349301123,541547408,VA BEACH AMBULATORY SURGERY CENTER,1700 WILL O WISP DRIVE,VA BEACH,VA,23454,541448218,HEALTH CARE,VA,SH,RELATED,707383,3203491,0,1,0.50000
201833139349301123,541547408,CANCER CENTERS OF VA LLC,5900 LAKE WRIGHT DRIVE,NORFOLK,VA,23502,201338518,HEALTH CARE,VA,SH,RELATED,1352339,7265057,0,1,0.50000
201833139349301123,541547408,HAMPTON ROADS LITHOTRIPSY LLC,225 CLEARFIELD AVE,VIRGINIA BEACH,VA,23462,200942600,HEALTH CARE,VA,N/A
201833139349301123,541547408,RADIOLOGY SERVICES OF HAMPTON ROADS LC,814 GREENBRIER CIRCLE STE L,CHESAPEAKE,VA,23320,541774472,HEALTH CARE,VA,N/A
201833139349301123,541547408,RADIOLOGY SERVICES OF HAMPTON ROADS LC,814 GREENBRIER CIRCLE STE L,CHESAPEAKE,VA,23320,541774472,HEALTH CARE,VA,SH,RELATED,-203369,1140522,0,1,0.25000
201833139349301123,541547408,SENTARA OBICI AMBULATORY SURGERY LLC,2750 GODWIN BLVD,SUFFOLK,VA,23434,260144898,HEALTH CARE,VA,SH,RELATED,769555,1739705,0,1,0.54550
201833139349301123,541547408,ST LUKES PROPERTIES LLC,6015 POPLAR HALL DRIVE,NORFOLK,VA,23502,272774684,MOB RENTAL,VA,N/A
201833139349301123,541547408,POTOMAC INOVA HEALTHCARE ALLIANCE LLC,8110 GATEHOUSE RD STE 400W,FALLS CHURCH,VA,22042,541802733,HEALTHCARE,VA,N/A
201833139349301123,541547408,ORTHOPAEDIC HOSPITAL MANAGEMENT LLC,3000 COLISEUM DRIVE,HAMPTON,VA,23666,274185117,MGT SVCS,VA,SH,RELATED,156366,13867,0,1,0.40000
201833139349301123,541547408,CAREPLEX ORTHOPAEDIC ASC LLC,3000 COLISEUM DRIVE,HAMPTON,VA,23666,271867311,HEALTH CARE,VA,SH,RELATED,2179817,2752951,0,1,0.50000
201833139349301123,541547408,PHYSICAL THERAPY ACACLLC,501 ALBEMARLE SQUARE,CHARLOTTESVILLE,VA,22901,260080717,HEALTH CARE,VA,N/A
201833139349301123,541547408,MNS SUPPLY CHAIN NETWORK LLC,11525 N COMMUNITY HOUSE RD STE 450,CHARLOTTE,NC,28277,454235238,GPO,DE,N/A
201833139349301123,541547408,LAKE RIDGE AMBULATORY SURGERY CENTER LLC,12825 MINNIEVILLE RD STE 204,WOODBRIDGE,VA,22192,455347932,HEALTH CARE,VA,N/A
201833139349301123,541547408,ALETA HEALTH LLC,2300 OPITZ BLVD,WOODBRIDGE,VA,22191,465661314,MSO,DE,N/A
201833139349301123,541547408,OPACC I LLC,18000 W SARAH LANE SUITE 250,BROOKFIELD,WI,53045,392021431,RE RENTAL,WI,N/A
201833139349301123,541547408,MEDSTREAMING LLC,9840 WILLOWS ROAD NE SUITE 200,REDMOND,WA,98052,451573625,SOFTWARE DEV,WA,N/A
201833139349301123,541547408,HIGHLAND CORE FIXED INCOME FUND,C/O GTC 12 GILL ST SUITE 2600,WOBURN,MA,01801,474618533,POOLED INV FD,DE,N/A
201833139349301123,541547408,HIGHLAND EQUITY FUND,C/O GTC 12 GILL ST SUITE 2600,WOBURN,MA,01801,474606269,POOLED INV FD,DE,N/A
201833139349301123,541547408,HIGHLAND PUBLIC INFLATION HEDGES FD,C/O GTC 12 GILL ST SUITE 2600,WOBURN,MA,01801,474601867,POOLED INV FD,DE,N/A
201843189349304009,362169147,DMA SURGERY CENTER,2357 Sequoia Drive,AURORA,IL,60506,363890298,MEDICAL SERVices,IL,NA
201813199349317311,364195126,BEL HARLEM SURG CTR,3101 NORTH HARLEM,CHICAGO,IL,60634,412237162,MEDICAL SERVICE,IL,NA,N/A
201813199349317311,364195126,RH SLEEP CTR - NW,665 WEST NORTH AVE 500,LOMBARD,IL,60148,261519627,MEDICAL SERVICE,IL,NA,N/A
201813199349317311,364195126,RH SLEEP CTR - EVAN,665 WEST NORTH AVE 500,LOMBARD,IL,60148,261519556,MEDICAL SERVICE,IL,NA,N/A
201813199349317311,364195126,RH SLEEP CTR - LP,665 WEST NORTH AVE 500,LOMBARD,IL,60148,261519667,MEDICAL SERVICE,IL,NA,N/A
201813199349317311,364195126,ALVERNO CLINIC LAB,2434 INTERSTATE PLAZA DRIVE,HAMMOND,IN,46324,203240648,MEDICAL SERVICE,IN,NA,N/A
201813199349317311,364195126,PROF CLINIC LAB LLC,113 E 4TH ST,MICHIGAN CITY,IN,46360,300711211,MEDICAL SERVICE,IN,NA,N/A
201911349349307661,610444788,PCSOM REAL ESTATE LLC,147 SYCAMORE STREET,PIKEVILLE,KY,41051,CONSTRUCT AND OWN AN EDUCATIONAL BUILDING,KY,UNIVERSITY OF PIKEVILLE,RELATED,-6262579,0,1
201901359349304795,060646973,Fourth Century LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,412046537,Investment,DE,Yale University,Excluded,410014259,9844472651,true,-1600174,false,0.998
201901359349304795,060646973,Fifth Century LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,200763076,Investment,NV,Yale University,Excluded,637070727,5282192976,true,26146062,false,0.998
201901359349304795,060646973,Laurel 2008 LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,261649501,Investment,NV,Fifth Century LP,Excluded,286493962,1742327097,true,5437865,false,0.996
201901359349304795,060646973,667 LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,061609184,Investment,DE,BBF I Holdings LP,Excluded,-1651995,1111506898,false,false,0.8136
201901359349304795,060646973,BBF I Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,208497574,Investment,NV,Fifth Century LP,Excluded,-1651995,1111506898,false,false,0.996
201901359349304795,060646973,Long Term Value Fund LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,980623624,Investment,CJ,Laurel 2008 LP,Excluded,95515674,1099289407,false,false,0.996
201901359349304795,060646973,YHG Investment LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,Investment,CJ,Gaoling Yali Feeder Ltd,Excluded,103967855,1028176294,true,false,0.8054
201901359349304795,060646973,YB Institutional LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,043431530,Investment,DE,Yale University,Excluded,56881159,794250864,true,6037260,false,0.9796
201901359349304795,060646973,Farallon Capital Institutional Partners II LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,943106692,Investment,CA,Yale University,Excluded,73536749,778600032,true,182,false,0.9099
201901359349304795,060646973,CYR Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,260788802,Investment,NV,Fifth Century LP,Excluded,-1522926,576897959,false,false,0.996
201901359349304795,060646973,CRS Master Fund LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,452658870,Investment,CJ,CRS Fund Ltd,Excluded,47398781,527981351,false,false,0.8482
201901359349304795,060646973,Prospect Street Partners Ltd,c/o Yale University PO Box 208239,New Haven,CT,065208239,593041479,Investment,FL,Yale University,Excluded,3203683,477598006,false,false,0.815
201901359349304795,060646973,Foxway LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,463794906,Investment,DE,Yale University,Excluded,81783908,427116676,false,false,0.9993
201901359349304795,060646973,Yellow Warbler LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,260342603,Investment,TX,Fourth Century LLC,Excluded,-169672453,377789879,true,-272632,false,0.9939
201901359349304795,060646973,Luxiver LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,451504333,Investment,DE,Yale University,Excluded,37024210,352573622,false,-20629265,false,0.9987
201901359349304795,060646973,Bluebart LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,383979963,Investment,DE,Yale University,Excluded,4699112,327027555,true,false,0.9907
201901359349304795,060646973,NIFL Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,208973999,Investment,NV,Fifth Century LP,Excluded,2123817,311073088,false,false,0.996
201901359349304795,060646973,SP II Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,260697863,Investment,NV,Fifth Century LP,Excluded,41488416,306560951,true,15555004,false,0.996
201901359349304795,060646973,Ktown LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,274278453,Investment,DE,Fourth Century LLC,Excluded,2135311,268765169,false,false,0.9722
201901359349304795,060646973,Morris Island Partners LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,464538290,Investment,DE,Fourth Century LLC,Excluded,-24664147,247305176,false,false,0.9834
201901359349304795,060646973,Easton 2007 LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,260627974,Investment,NV,Fifth Century LP,Excluded,54928118,239680837,true,1784108,false,0.996
201901359349304795,060646973,High Street Partners Ltd,c/o Yale University PO Box 208239,New Haven,CT,065208239,981332371,Investment,CJ,Yale University,Excluded,18313608,227023747,false,false,0.9364
201901359349304795,060646973,Long Meadow LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,263238155,Investment,DE,Yale University,Excluded,-1600209,209813125,false,false,0.9903
201901359349304795,060646973,M&H Realty Partners VI LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,571182074,Investment,CA,Fourth Century LLC,Excluded,-1703625,141187849,false,false,0.5161
201901359349304795,060646973,KHP Fund II LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,205882068,Investment,CA,Fourth Century LLC,Excluded,1675681,104497022,true,107841,false,0.6018
201901359349304795,060646973,JBG Investment Fund III LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,522384738,Investment,DE,Fourth Century LLC,Excluded,610995,100871932,true,4098,false,0.5798
201901359349304795,060646973,Motus Fund Ltd,c/o Yale University PO Box 208239,New Haven,CT,065208239,981253737,Investment,CJ,Yale University,Excluded,1729391,90198287,false,true,0.9801
201901359349304795,060646973,Noga Partners LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,201192059,Investment,DE,Fourth Century LLC,Excluded,7638855,86040067,true,251109,false,0.9002
201901359349304795,060646973,JPF V Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,202008388,Investment,NV,Fifth Century LP,Excluded,15121311,85637066,true,1980449,false,0.996
201901359349304795,060646973,RCP II Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,260444200,Investment,NV,Fifth Century LP,Excluded,13232790,68265930,false,false,0.996
201901359349304795,060646973,Y2K Partners LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,711007459,Investment,DE,Fourth Century LLC,Excluded,379877,66275709,false,false,0.998
201901359349304795,060646973,TDRC II-A LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,205025534,Investment,NV,Fifth Century LP,Excluded,0,65419699,false,false,0.996
201901359349304795,060646973,Manaslu Fund II LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,981158285,Investment,CJ,Fourth Century LLC,Excluded,2639680,62237161,false,false,0.5269
201901359349304795,060646973,Bayroot LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,200390410,Investment,DE,Fourth Century LLC,Excluded,10136646,59653994,false,false,0.9881
201901359349304795,060646973,Sedgwick LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,260483594,Investment,NV,Fifth Century LP,Excluded,10607447,54722188,false,false,0.7984
201901359349304795,060646973,RCP Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,202008465,Investment,NV,Fifth Century LP,Excluded,551087,46985364,false,false,0.996
201901359349304795,060646973,VERNON LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,800904292,Investment,DE,Fourth Century LLC,Excluded,2291873,42963867,true,29464,false,0.7984
201901359349304795,060646973,JPS Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,208909921,Investment,NV,Fifth Century LP,Excluded,11523190,42613687,false,false,0.996
201901359349304795,060646973,ABINGDON LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,611707283,Investment,DE,Fourth Century LLC,Excluded,7064502,42166242,true,2290750,false,0.7984
201901359349304795,060646973,Fulton LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,260165041,Investment,DE,Fourth Century LLC,Excluded,439969,42024170,false,false,0.7984
201901359349304795,060646973,Omaha LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,Investment,CA,OM Holdings LP,Excluded,-2639542,41181380,false,false,0.986
201901359349304795,060646973,AEF 6 US Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,262867531,Investment,NV,Fifth Century LP,Excluded,-4811118,41033433,true,-8227,false,0.996
201901359349304795,060646973,SP 8 Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,260558478,Investment,NV,Fifth Century LP,Excluded,-1733049,41027932,false,false,0.996
201901359349304795,060646973,Osceola LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,262008431,Investment,NV,Fifth Century LP,Excluded,7128307,40380592,true,931976,false,0.7984
201901359349304795,060646973,Ridgefield IX LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,901007364,Investment,DE,Fourth Century LLC,Excluded,4392015,40327379,false,false,0.7984
201901359349304795,060646973,Ramsgate VIII LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,205259910,Investment,DE,Fourth Century LLC,Excluded,2148422,40173689,false,false,0.7984
201901359349304795,060646973,CAUTHEN VII LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,263653027,Investment,DE,Fourth Century LLC,Excluded,6000129,36952440,true,79426,false,0.7984
201901359349304795,060646973,Uhle LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,273981909,Investment,DE,Fourth Century LLC,Excluded,2833264,35527991,true,-348534,false,0.7984
201901359349304795,060646973,Farallon Capital Institutional Partners 25 LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,943388317,Investment,DE,Yale University,Unrelated,140344,34964476,true,375991,false,0.8726
201901359349304795,060646973,Ramsgate XI LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,465209548,Investment,DE,Fourth Century LLC,Excluded,0,34194003,false,false,0.7984
201901359349304795,060646973,Gloster LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,201263980,Investment,DE,Fourth Century LLC,Excluded,1691713,33867531,true,198360,false,0.7984
201901359349304795,060646973,CYR Fund LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,260270646,Investment,DE,CYR Holdings LP,Excluded,-1522929,33806425,false,false,0.8539
201901359349304795,060646973,NLVF II Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,261545222,Investment,NV,Fifth Century LP,Excluded,21082592,31815127,false,false,0.996
201901359349304795,060646973,MEP IX LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,752537935,Investment,DE,Fourth Century LLC,Excluded,2680309,31016354,false,false,0.998
201901359349304795,060646973,JBG Investment Fund IV LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,010815265,Investment,DE,Fourth Century LLC,Unrelated,-2488126,30385549,true,-1767501,false,0.5988
201901359349304795,060646973,HERNDON IV LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,471698457,Investment,DE,Fourth Century LLC,Unrelated,-350053,29503660,true,-495995,false,0.7984
201901359349304795,060646973,AEF 5 US Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,204076676,Investment,NV,Fifth Century LP,Excluded,22164,28910150,false,false,0.996
201901359349304795,060646973,HERNDON LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,371659934,Investment,DE,Fourth Century LLC,Excluded,878407,27167089,false,false,0.7984
201901359349304795,060646973,CAUTHEN VI LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,208202030,Investment,DE,Fourth Century LLC,Excluded,-650992,26879470,true,-100385,false,0.7984
201901359349304795,060646973,Alamance VII LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,452046522,Investment,DE,Fourth Century LLC,Excluded,13439224,26431794,false,false,0.7984
201901359349304795,060646973,IVP VI Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,208699381,Investment,NV,Fifth Century LP,Excluded,36771062,25659240,false,false,0.996
201901359349304795,060646973,HEVP II Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,261828824,Investment,NV,Fifth Century LP,Excluded,-721662,25629985,false,false,0.996
201901359349304795,060646973,Windom LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,261768804,Investment,NV,Fifth Century LP,Excluded,4114416,25300150,true,622679,false,0.7984
201901359349304795,060646973,Wynnwood VIII LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,263294405,Investment,NV,Fifth Century LP,Excluded,2051594,24764071,true,-275353,false,0.7984
201901359349304795,060646973,Typhoon LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,010685132,Investment,DE,Fourth Century LLC,Excluded,638125,24620382,false,false,0.9127
201901359349304795,060646973,Kenwood LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,383863347,Investment,DE,Fourth Century LLC,Excluded,1428479,24596767,false,false,0.7984
201901359349304795,060646973,Radford LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,455470954,Investment,DE,Fourth Century LLC,Excluded,-412748,24324671,false,false,0.7984
201901359349304795,060646973,Kenwood 2014 LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,465704870,Investment,DE,Fourth Century LLC,Excluded,17553,24313992,true,9697,false,0.7984
201901359349304795,060646973,Strategic Residential Fund II LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,043584406,Investment,DE,Yale University,Excluded,0,24063541,false,false,0.95
201901359349304795,060646973,Merriweather LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,043664410,Investment,DE,Fourth Century LLC,Excluded,827161,23566464,false,false,0.988
201901359349304795,060646973,Woodway LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,261206761,Investment,NV,Fifth Century LP,Excluded,8856005,21548359,true,373348,false,0.7984
201901359349304795,060646973,Cauthen VIII LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,452750613,Investment,DE,Fourth Century LLC,Excluded,-6647740,21524860,true,495229,false,0.7984
201901359349304795,060646973,Danville LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,453531407,Investment,DE,Fourth Century LLC,Unrelated,955817,20687698,true,675408,false,0.7984
201901359349304795,060646973,MACOMB XI LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,800958889,Investment,DE,Fourth Century LLC,Excluded,1681812,20249730,true,-567195,false,0.7984
201901359349304795,060646973,Yadkin IV LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,461569715,Investment,DE,Fourth Century LLC,Excluded,3675270,19555412,true,436,false,0.7984
201901359349304795,060646973,Corbin VII LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,472456807,Investment,DE,Fourth Century LLC,Excluded,1128789,19210555,false,false,0.7984
201901359349304795,060646973,HEVP Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,204982016,Investment,NV,Fifth Century LP,Excluded,-2572260,18544799,false,false,0.996
201901359349304795,060646973,Arlington LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,383909979,Investment,DE,Fourth Century LLC,Excluded,0,18068591,false,false,0.7984
201901359349304795,060646973,FILLMORE LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,453783115,Investment,DE,Fourth Century LLC,Excluded,6931194,17735844,false,false,0.7984
201901359349304795,060646973,Harbor Hills Development LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,161453802,Investment,DE,Harbor Hills Holdings LP,Unrelated,337403,17398382,true,335997,false,0.99
201901359349304795,060646973,Whitehaven XI LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,371738599,Investment,DE,Fourth Century LLC,Excluded,531637,16742455,false,false,0.7984
201901359349304795,060646973,Tilden III LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,462024260,Investment,DE,Fourth Century LLC,Excluded,1126757,16680754,false,false,0.7984
201901359349304795,060646973,POE LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,262765485,Investment,NV,Fifth Century LP,Excluded,5454653,16184873,true,-375064,false,0.7984
201901359349304795,060646973,BCVF 2007 Holdings LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,205965183,Investment,NV,Fifth Century LP,Excluded,2535147,15989390,false,false,0.996
201901359349304795,060646973,IRIS 2009 LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,264100777,Investment,NV,Fifth Century LP,Excluded,3555708,15969228,false,false,0.996
201901359349304795,060646973,Ramsgate X LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,273616177,Investment,DE,Fourth Century LLC,Excluded,3630888,15277319,false,false,0.7984
201901359349304795,060646973,Lorton LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,454238865,Investment,DE,Fourth Century LLC,Excluded,273084,14684883,true,-4974,false,0.7984
201901359349304795,060646973,CLEVELAND LLC,c/o Yale University PO Box 208239,New Haven,CT,065208239,900743297,Investment,DE,Fourth Century LLC,Excluded,-369479,14655155,false,false,0.7984
201901359349304795,060646973,Ridgefield VIII LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,261603389,Investment,NV,Fifth Century LP,Excluded,10128766,14182551,true,413167,false,0.7984
201901359349304795,060646973,Alderbrook LP,c/o Yale University PO Box 208239,New Haven,CT,065208239,202939768,Investment,NV,Fifth Century LP,Excluded,4259085,14172767,true,-327846,false,0.7984
