object_id,ein,Dsc,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
201932959349301018,850474926,TUITION AND FEES,49360,49360
201932959349301018,850474926,MISCELLANEOUS,111,111
202010429349300946,530219639,Patient services,611710,446271,0,0
202010429349300946,530219639,Student tuition and fees,611600,251715,0,0
202010429349300946,530219639,Journal of Psychiatry,611710,37500,0,0
202021269349301812,362167725,Tuition and Fees,611600,187281340,187281340
202021269349301812,362167725,Museum Admissions,900099,18392189,18392189
202021269349301812,362167725,Proceeds from Sale of Art,900099,13277350,13277350
202021269349301812,362167725,Member Program Revenues,900099,726207,726207
202021269349301812,362167725,Other Restricted Prog Rev,900099,2180393,2180393
202021919349302497,200118161,HOUSING SERVICES,900099,6090664,6090664
201923189349304737,251065148,ACADEMIC TUITION/FEES,611600,42797370,42797370
201923189349304737,251065148,ROOM AND BOARD FEES,611710,20958889,20958889
201923189349304737,251065148,BOOKSTORE,611710,1177903,1177903
202040249349300009,860711495,Tuition and fees,611600,1179887,1179887
202041979349304134,570314395,TUITION AND FEES,611710,137510639,137510639
202041979349304134,570314395,ROOM AND BOARD,611710,32949611,32949611
202041979349304134,570314395,INTERCOLLEGIATE ATHLETICS,611710,4218160,4218160
202041979349304134,570314395,OTHER INCOME,611600,2985083,2985083
201923029349301652,541919810,TUITION AND FEES,611600,7595996,7595996
201923029349301652,541919810,ROOM AND BOARD,721310,2082636,2082636
201923029349301652,541919810,SUMMER CAMPS,900099,190486,190486
201943129349303514,942427596,ON-SITE PROGRAMS,900099,1038388,1038388
201943129349303514,942427596,OFF-SITE PROGRAMS,900099,924389,924389
201943129349303514,942427596,OTHER PROGRAMS,900099,597169,597169
201943129349303514,942427596,SPEC./INNOVATIVE PROG.,900099,188407,188407
202031369349303343,463914338,TUITION REVENUE,611310,129678,0,0
202011379349300021,204734568,PRESCHOOL/CHILD CARE,624410,210952,210952
202011379349300021,204734568,STUDENT ACTIVITIES,611110,90944,90944
202012279349300331,237135915,TUITION AND FEES,611710,2688628,2688628
202012279349300331,237135915,STUDENT HOUSING,721310,31820,31820
202030639349300003,202394341,Tuition,611600,326662,326662
202030639349300003,202394341,Conference revenue,611600,13886,13886
202030639349300003,202394341,Journal income,511120,2803,2803
202030639349300003,202394341,Student Housing,721310,203895,203895
202012469349300421,540646523,TUITION & FEES,611600,16176863,16176863
202012469349300421,540646523,HOUSING & AUX ENTERP.,611600,2552645,2552645
202012469349300421,540646523,SPECIAL PROGRAMS,611600,497173,497173
202012469349300421,540646523,TRAVEL STUDY,611600,88130,88130
202020719349301312,391319049,TUITION AND FEES,1698212,1698212
202020719349301312,391319049,MISCELLANEOUS,1637,1637
201923199349312582,540568200,TUITION AND FEES,611310,20962710,20962710
201923199349312582,540568200,DINING SERVICES,611710,1507492,1507492
201923199349312582,540568200,RESIDENCE HALLS,611710,1455862,1455862
201923199349312582,540568200,CAMPUS STORE/TEXTBOOK SALE,611710,78630,78630
201923199349312582,540568200,SPECIAL EVENTS,611710,63850,63850
202020439349300942,222586208,Tuition and Fees,611310,23216382,23216382,0,0
202020439349300942,222586208,Room,611310,3004358,3004358,0,0
202020439349300942,222586208,Board,611310,2069306,2069306,0,0
202041719349301204,310820394,TUITION & FEES,611710,38700443,38700443
202041719349301204,310820394,DORM RENT,611710,3083041,3083041
202041719349301204,310820394,OTHER PROGRAM REVENUE,611710,377602,377602
202041719349301204,310820394,INTEREST- PERKINS LOANS,611710,52779,52779
201943179349308369,237034324,TUITION AND FEES,611310,9178342,9178342
201943179349308369,237034324,OTHER REVENUES,900099,58319,58319
201943179349308369,237034324,CHANGE IN LIFE INTEREST AGREEMENT,900088,-3588,-3588
201943189349303159,383888609,TEACHING,611600,125498,125498
202002139349301310,650000627,TUITION AND FEES,611600,17321548,17321548
202002139349301310,650000627,"TEXTBOOK SALES, NET OF COMMISSION",611600,36858,36858
202031769349300203,540534105,TUITION AND FEES,611710,7705080,7705080
202031769349300203,540534105,STUDENT SERVICES,611710,3906824,3906824
202031769349300203,540534105,SALES & SERVICES,611710,127636,127636
202000649349300020,566049935,TUITION AND FEES,611310,107984765,107984765
202000649349300020,566049935,HOUSING,611310,20515867,20515867
202000649349300020,566049935,STUDENT FEES & MISC,611310,1820397,1820397
202000649349300020,566049935,BOOKSTORE REVENUE,611310,535014,535014
202000649349300020,566049935,FOOD SERVICE REVENUE,611310,174905,174905
202040589349301414,030482006,TUITION AND FEES,611710,22699805,22699805
202040589349301414,030482006,FACULTY AND STUDENT HOUSING,531110,10150100,10150100
202040589349301414,030482006,MISCELLANEOUS PROGRAM REVENUE,611710,912846,912846
202040589349301414,030482006,EVENTS & TRAINING,611710,550154,550154
202040589349301414,030482006,AMU PRESS CO-PRODUCTION,511110,274,274
202010979349300716,362191252,Activities relted to Educ,188930,188930
202010979349300716,362191252,Auxilliary Enterprises,18460019,18460019
202010979349300716,362191252,Education Revenue,118351001,118351001
202030979349301043,221494428,Tuition and Fees,611310,47744248,47744248
202030979349301043,221494428,AUXILIARY SALES AND SERVICES,611710,7977004,7977004
202021369349302622,231352655,Tuition and Fees,611310,22860277,22860277,0,0
202021369349302622,231352655,Room and Board,611310,16988947,16988947,0,0
202021369349302622,231352655,Contracts and Sponsored Activities,611310,5024304,5024304,0,0
202031819349301908,150532200,Tuition and Fees,611310,105281045,105281045,0,0
202031819349301908,150532200,Room and Board,611310,25437210,25437210,0,0
202031819349301908,150532200,Auxiliary Operations,611310,800478,800478,0,0
202041829349301604,200551778,TUITION AND FEES,63385,63385
202041779349300719,742606557,"Chaplain, Masses, Ministries, & Wordship",813110,105281,0,0
202000089349301105,953104298,TUITION,2608235,2608235
201903229349300885,931071753,BOOKS
201903229349300885,931071753,RENTS
201903229349300885,931071753,TUITION,105772,105772
202040739349300039,236002304,TUITION AND FEES,611310,73355953,73355953
202040739349300039,236002304,DORMS,900099,11993359,11993359
202040739349300039,236002304,DINING,900099,8696842,6853631,1843211
202040739349300039,236002304,GRANT CONTRACTS,900099,1454657,1454657
202040739349300039,236002304,CONFERENCES,900099,975337,13116,962221
202001959349303790,330494864,Educational Schooling,611600,107785,107785
202001959349303790,330494864,Educational Seminars,611600,43790,43790
202001769349300130,474484212,PROGRAM REVENUE,611710,41076,41076
202001769349300130,474484212,REIMBURSEMENT FUNDS,611710,94,94
202010949349300536,370864020,Tuition and fees,611310,57977065,57977065,0,0
202010949349300536,370864020,Bookstore sales related,451211,92705,92705,0,0
202010949349300801,561065978,TUITION AND FEES,611710,2363765,2363765
202010949349300801,561065978,AUXILIARY ENTERPRISES,611710,1184815,1184815
202010949349300801,561065978,OTHER INCOME,611710,48306,48306
202010949349300821,560530242,TUITION AND FEES,900099,62741536,62741536
202010949349300821,560530242,"HOUSING, DINING & OTHER",900099,9097145,9097145
202010949349300821,560530242,WORKSHOPS & OTHER FEES,900099,1493535,1493535
202032469349301663,451171945,STUDENT TUITION AND FEES,611310,1728924,1728924
202031209349300938,221500645,TUITION & FEES,900099,349004000,349004000
202031209349300938,221500645,ROOM AND BOARD,900099,36210000,36210000
202031209349300938,221500645,MEDICAL RESIDENCY PROGRAM,900004,255000,255000
202041279349302129,810420650,TUITION AND FEES,611600,511106,511106
202041279349302129,810420650,DAY CARE FEES,611600,52777,52777
202041279349302129,810420650,PROGRAM REIMBURSEMENTS,611600,39380,39380
202041679349300814,660201206,Tuitions and Fees,611710,238086570,238086570,0,0
202041679349300814,660201206,Auxiliary Enterprises,611710,1355415,1355415,0,0
202041679349300814,660201206,Sistema TV,515100,965942,512302,89428,364212
202001009349300435,750995027,Tuition and Fees,611600,11049243,0,0
202001009349300435,750995027,Sales & Service of Auxilliary Enterprises,611710,5439769,0,0
202001009349300800,160746864,TUITION & FEES,611600,133917430,133917430
202001009349300800,160746864,FACILITIES RENTAL,532000,462981,100000,362981
202001009349300800,160746864,CHILD CARE,624410,412307,412307
202001009349300800,160746864,RESEARCH AND CONTRACT REVENUE,611600,299933,299933
202001009349300800,160746864,AUXILIARY REVENUE,611600,108846,108846
202020809349300922,350868086,Tuition and Fees,611600,29110995,29110995
202020809349300922,350868086,Auxiliary Enterprises,611600,5839029,5839029
202020809349300922,350868086,Camps & Conferences-Room,721310,13780,8840,4940
202020809349300922,350868086,Camps & Conferences-Catering,722320,132357,103318,29039
202020809349300922,350868086,Bookstore,451211,18765,18765
202031009349301553,560529940,TUITION & FEES,900099,185976932,185976932
202031009349301553,560529940,AUXILIARY ENTERPRISES,713910,21752432,21726806,25626
202031009349301553,560529940,"ATHLETICS, STUDENT SERVICES",900099,830413,830413
202031009349301553,560529940,NCAA CONFERENCE DISTRIBUTIONS,900099,604170,604170
202031009349301553,560529940,SCHOOLS & CAMPS,611710,127120,84179,42941
202020919349300502,231352641,TUITION AND FEES,900099,141063857,141063857
202020919349300502,231352641,AUXILIARY SERVICES,900099,34838801,34838801
202020919349300502,231352641,CONFERENCES AND CONVENTIONS,611710,269366,269366
202020919349300502,231352641,THEATER,711110,673063,314488,358575
202010879349300301,131740469,TUITION AND FEES,900099,73540501,73540501
202010879349300301,131740469,ROOM & BOARD (AUXILIARY ENT),900099,14334307,14250023,84284
202011299349300336,741109620,Tuition and fees,900099,318607000,318607000
202011299349300336,741109620,Auxiliary operations,900099,53095000,53038744,56256
202011299349300336,741109620,Department sales,541900,26449288,26850578,-401290
202011299349300336,741109620,Research contracts,900099,14503225,14503225
202011299349300336,741109620,Student loan interest,900099,203534,203534
202040919349300834,590624401,TUITION & FEES,611600,96317609,96317609
202040919349300834,590624401,DORMITORY & FOOD SERVICE,611710,22729841,22729841
202040919349300834,590624401,RENTAL TO STUDENTS/FACULTY,611710,161763,161763
202040919349300834,590624401,OTHER STUDENT FEES,611710,92611,92611
202010089349300531,660177776,Tuition and Fees,611310,209817221,209817221,0,0
202010089349300531,660177776,Federal grants and contracts,611310,20243049,20243049,0,0
202010089349300531,660177776,Commonwealth of Puerto Rico,611310,2035071,2035071,0,0
202001409349301025,340714600,TUITION AND FEES,611310,22212397,22212397
202001409349301025,340714600,STUDENT APPLICATION FEES,611310,114590,114590
202001409349301025,340714600,SERVICE INCOME & OTHER,611310,34797,34797
202030769349301568,131740445,TUITION & FEES,900099,63440293,63440293,0,0
202030769349301568,131740445,ROOM & BOARD,900099,9070065,9070065,0,0
202020649349300537,311048513,Education,611310,1350870,1350870,0,0
202000519349300500,930391586,TUITION REVENUE,611310,76142895,76142895
202000519349300500,930391586,AUXILIARY SERVICE REVENUE,611310,11495104,11495104
202000519349300500,930391586,ATHLETICS,561740,430759,430759
202041679349300939,756114836,Tuition & Fees,611310,2033902,2033902
202041679349300939,756114836,Other Program Revenue,900099,27138,27138
202041679349300939,756114836,Auxiliary Services,900099,5696,5696
202000219349300920,610444825,Tuition and fees,611310,37412073,37412073,0,0
202000219349300920,610444825,"Room, board and other auxiliaries",611310,7984257,7984257,0,0
202031339349301118,341037893,OTHER REVENUE,611600,22,22
202031339349301118,341037893,TUITION / FEE REVENUE,611600,1641804,1641804
202031339349301123,590624364,Tuition and Fees,900099,162747692,162747692
202031339349301123,590624364,Auxilliary Enterprises,900099,12994690,12994690
202031339349301123,590624364,Student fees,900099,1445628,1445628
202031339349301123,590624364,Podiatric Clinic,900099,1130393,1130393
202031339349301123,590624364,Athletic facilities,532000,1125409,1098501,26908
202000779349301200,042005934,Instructional Services,611310,16175810,16175810,0,0
202000779349301200,042005934,Housing & Student Services,611310,5855270,5855270,0,0
202040909349300604,381358014,Tuition and Fees,611310,70001139,70001139,0,0
202040909349300604,381358014,Room and Board,611310,7896482,7896482,0,0
202040909349300604,381358014,Other Revenue,611310,1358046,1269792,88254,0
202040869349300824,010263385,TUITION AND FEES,611600,26557590,26557590
202040869349300824,010263385,SUMMER PROGRAMS,611600,447820,447820
202040439349300519,650807808,STUDENT TUITION AND FEES,2956393,2956393
201903189349304530,391894395,NET PATIENT REVENUE,621110,1116562,1116562
202041819349300909,156019050,TUITION AND FEES,600099,1945336,1945336
202041819349300909,156019050,STUDENT HOUSING,531110,244715,244715
202041819349300909,156019050,FOOD SERVICE,722210,166396,166396
202041819349300909,156019050,COLLEGE BOOKSTORE,451211,12239,12239
202031909349301593,823882005,TUITION AND FEES,611600,449526,449526
202021359349302367,231352661,Tuition and fees,611310,101854731,101854731,0,0
202021359349302367,231352661,Auxiliary Enterprises,611310,22627579,0,33797,22593782
202021359349302367,231352661,Registration and Other Fees,611710,2329153,2164129,165024,0
202001359349300440,383001876,Tuition and fees,813110,2565937,2565937,0,0
202001359349300440,383001876,Sales and services,813110,798926,798926,0,0
202030579349300223,440545914,TUITION & FEES,611600,26490563,26490563
202030579349300223,440545914,RESIDENCE HALL,611710,3872995,3872995
202030579349300223,440545914,DINING SERVICES,611710,2465047,2465047
202030579349300223,440545914,STUDENT SERVICES,611710,1648528,1648528
202030579349300223,440545914,FINE ARTS,611710,921234,921234
202030579349300323,541911091,Tuition and Fees,900099,5446901,5446901
202030579349300323,541911091,Clinic,900099,48810,48810
202030579349300323,541911091,Service Contracts,900099,276704,276704
202042099349301204,823471179,BIBLR COURSES,26159,26159
202031699349300433,134304343,"Tuition, Dormitory",611310,328202,328202,0,0
202021359349302327,050306206,TUITION,611310,340352965,340352965
202021359349302327,050306206,RESIDENCE & DINING,611310,69080028,69080028
202021359349302327,050306206,DOUBLETREE HOTEL,721110,8994810,8994810
202021359349302327,050306206,STUDENT FEES,611310,3352123,3352123
202011819349301651,060646520,TUITION AND FEES,900099,27404383,27404383
202011819349301651,060646520,STUDENT SUPPORT SERVICE,611710,3007272,3007272
202011819349301651,060646520,ATHLETIC MEMBERSHIPS,713940,72040,72040
202031069349301118,362515868,Liberal Arts Instr.,900099,21301719,21301719
202031069349301118,362515868,Housing/Food Services,900099,4712672,4712672
202031069349301118,362515868,Adult Continuing Edu.,900099,3523312,3523312
201903199349311065,272390050,CONSULTING,611710,116500,116500
201903199349311065,272390050,DEVELOPMENT,541700,77500,77500
201903199349311065,272390050,SOFTWARE ROYALTY,541900,144593,144593
202011369349302556,231365971,Tuition and Fees,611310,997566000,997566000,0,0
202011369349302556,231365971,Sales and Services of Eductional Activities,611310,11565000,11565000,0,0
202011369349302556,231365971,Auxiliary Enterprises,611310,127221000,126966000,255000,0
202011369349302556,231365971,Patient Care Activities,621111,222954000,222954000,0,0
202011369349302556,231365971,Other,611310,15737000,15737000,0,0
202041979349303804,610444671,COMPREHENSIVE FEE,611710,74141181,74141181
202041979349303804,610444671,AUXILIARY SERVICES,611710,1135494,1135494
202041979349303834,060646936,TUITION AND FEES,611310,116971863,116971863
202041979349303834,060646936,RESIDENCE & MEALS,721000,13432261,13432261
202041979349303834,060646936,OTHER PROGRAM FEES & REVENUES,611710,1710829,1710829
202011369349304291,237421224,EDUCATIONAL SERVICES,611310,39623516,39623516
202001329349301800,042321292,TUITION AND FEES,900099,11221781,11221781
202001329349301800,042321292,RENTAL,900099,3017369,3017369
202001329349301800,042321292,AUXILIARY ENTERPRISES,900099,2825726,2825726
202001329349301800,042321292,EDUCATIONAL SERVICES,611710,1283781,1283781
202001329349301800,042321292,CHILD CARE SERVICES,624410,696412,696412
202000359349301305,954860047,Tuition and fees,611710,312138,312138
202001169349300505,431781928,PROGRAM FEES & TUITION,85385,85385
202020539349300612,800957275,MEMBERSHIP & FEE INCOME,713940,44373,44373
202011209349301021,570314408,"TUITION, ROOM, AND BOARD",611310,56275983,56275983
202011209349301021,570314408,ATHLETIC REVENUE,611310,1543184,1476150,67034
202011209349301021,570314408,OTHER REVENUE,611310,1195564,1162047,33517
202011209349301021,570314408,SUMMER CONFERENCES,532000,155262,155262
202001679349301535,391773613,TUITION AND FEES,611310,1184052,1184052
202031909349302358,620516509,TUITION AND FEES,611600,73199191,73199191
202031909349302358,620516509,AUXILIARY ENTERPRISES,611710,11860393,11860393
202042409349300004,620475689,COLLEGE STATION REVENUE,276269,276269
202042409349300004,620475689,TN SPECIALTY LICENSE PLATES,38219,38219
202000299349300230,481055185,PROGRAM SERVICE REVENUE,20505038,20505038
202000309349301565,061013935,STUDENT INCOME,900099,33775,33775
202031759349301023,522027415,TUITION,611710,2690339,2690339
202031759349301023,522027415,HOUSING INCOME,531110,526525,526525
202031759349301023,522027415,DINING SERVICES,611710,288890,288890
202031759349301023,522027415,MISCELLANEOUS,900099,232945,232945
202040569349300809,410693960,Tuition and fees,611310,97368215,97368215,0,0
202040569349300809,410693960,Auxilliaries,611310,4397255,4397255,0,0
202040569349300809,410693960,Sales and Services of Educational Activities,611310,767330,767330,0,0
202040569349300809,410693960,Other Sources,611310,4065460,4065460,0,0
202011899349301686,741554976,TUITION AND FEES,611600,29236361,29236361
202011899349301686,741554976,LIBRARY REVENUE AND OTHER,611600,201409,201409
202011899349301686,741554976,FACILITY USE AND RENTAL,611600,162199,162199
201933129349300003,320237828,NETWORK MEMBERSHIP FEE,900099,104949,104949
201933129349300003,320237828,PROF. FEE INCOME,900099,65000,65000
201933129349300003,320237828,COACHING EVENTS,900099,34278,34278
201933129349300003,320237828,JOB FAIR,900099,15000,15000
201942889349301709,562231069,TUITION & FEES,611600,1471554,1471554
201942889349301709,562231069,HOUSING FEES,611710,66023,66023
201942889349301709,562231069,MEAL PLAN FEES,611710,20984,20984
202040979349300944,350867977,STUDENT TUITION AND FEES,900099,203577275,203577275
202040979349300944,350867977,RESIDENCE HALLS/ROOM & BOARD,611710,24537057,24537057
202040979349300944,350867977,ATHLETIC REVENUE,611710,12619790,12619790
202040979349300944,350867977,AUXILIARY REVENUE,900099,10239910,10239910
202040979349300944,350867977,OTHER MISCELLANEOUS,611710,9305217,9305217
202011369349304466,135562167,TUITION AND FEES,611600,41771457,41771457
202011369349304466,135562167,PROFESSIONAL DEVELOPMENT FEES,611430,7845688,7845688
202011369349304466,135562167,AUXILLIARY ACTIVITIES,722320,466810,466810
202041349349302284,042134818,TUITION FEES,611310,18257710,18257710
202041349349302444,042300472,TUITION & FEES,611710,246676409,246676409
202041349349302444,042300472,ROOM & BOARD,721310,29839433,29839433
202041349349302444,042300472,BERKLEE ONLINE,611710,29191527,29191527
202041349349302444,042300472,PERFORMANCE CENTER,611710,912327,912327
202041349349302444,042300472,OTHER INCOME,611710,91441,91441
202022399349300522,753046724,SCH DIST DAYCARE CONTRACT,611600,378574,378574
202022399349300522,753046724,PRESCHOOL TUITION,611600,3106,3106
202001369349303775,581825259,Tuition and Fees,900099,84802058,84802058
202001369349303775,581825259,Housing,900099,6538244,6538244
202001369349303775,581825259,Dining Hall,900099,8479075,8479075
202001369349303775,581825259,"Vending, Games, Parking, Commissions",900099,659269,659269
202001369349303775,581825259,Student Government Aid,900099,13452082,13452082
202001189349300445,956002998,STUDENT TUITION FEES,611710,58964336,58964336
202001189349300445,956002998,AUXILLARY ENTERPRISES,611710,9595322,9595322
202001189349300445,956002998,SUPPORT SERVICES,611710,1226173,1226173
202011069349300021,150545841,Tution & Fees,611310,95647929,95647929
202011069349300021,150545841,Intercoll. Athletics,611310,223064,223064
202011069349300021,150545841,Room & Board,611310,18990323,18990323
202011069349300021,150545841,Catering Service,611310,30637,30637
202011069349300021,150545841,Bookstore,611310,143830,143830
201922919349300232,200617900,TRAINING FEES,900099,91000,91000
201922919349300232,200617900,FREEDOM SINGS,900099,23286,23286
201922919349300232,200617900,RESEARCH,900099,12000,12000
201922919349300232,200617900,CONSULTING INCOME,900099,8973,8973
201922919349300232,200617900,TUITION,900099,5717,5717
202021329349301037,436052681,TUITION & FEES,611710,2928308,2928308
202021329349301037,436052681,ROOM & BOARD,611710,795913,795913
202021329349301037,436052681,BOOKSTORE/CAFETERIA,611710,96670,96670
202021329349301037,436052681,PROGRAM RELATED RENTAL INCOME,611710,30176,30176
202021329349301037,436052681,FEDERAL ADMINISTRATION FEE,611710,930,930
202041329349302184,566007078,Auxiliary enterprise revenues,900099,60,0,0
202041329349302184,566007078,Tuition and mandatory fees,611600,54488,0,0
202011969349302676,111797166,TUITION,611310,3482392,3482392
202011689349300611,610444788,TUITION & FEES,611310,54667855,54667855
202011689349300611,610444788,AUXILIARY SERVICES,611310,4401410,4401410
202011689349300611,610444788,SALES & SERVICES,611310,272482,272482
202011689349300611,610444788,FINES & OTHER CHARGES,611310,251603,251603
202022539349301407,237417722,EXECUTIVE PROGRAMS,16591590,16591590
202022539349301407,237417722,RESIDENTIAL PROGRAMS,9499244,9499244
202022539349301407,237417722,OTHER PROGRAMS,9443285,9443285
202021819349300727,042103576,TUITION AND FEES,611710,9888132,9888132
202021819349300727,042103576,STUDENT PROVISIONS,611710,799785,799785
202021819349300727,042103576,AUXILIARY INCOME,611710,103565,103565
202001359349300725,201204071,BOOKS,66926,66926
202001359349300725,201204071,DISTANT LEADER TRAINING,115,115
202001359349300725,201204071,GRADUATION FEES,1530,1530
202001359349300725,201204071,SHIPPING FEES,20025,20025
202001359349300725,201204071,TUITION AND FEES,89129,89129
201931349349303268,030179414,TUITION & FEES,611710,37407396,37407396
201931349349303268,030179414,ROOM & BOARD,721310,9891953,9891953
201931349349303268,030179414,ANCILLARY STUDENT SVCS,611710,646366,646366
202000659349300915,310544271,TUITION & FEES,900099,2282923,2282923
202000659349300915,310544271,AUXILIARY SERVICES,900099,670935,670935
202000659349300915,310544271,SALES & SUBSCRIPTIONS,900099,125532,125532
202000659349300915,310544271,OHIO STATE REIMBURSEMENTS,900099,57866,57866
202000659349300915,310544271,DAY CARE SERVICES,624410,8922,8922
202001969349302805,412096004,SERVICE FEES,611310,33700000,33700000
202001969349305740,943185612,TUITION AND FEES,611600,3123632,3123632
202001969349305740,943185612,RESEARCH AND CONSULTIN,611600,135590,135590
202041929349302624,630417508,STUDENT TUITION & FEES,900099,28321363,28321363
202041929349302624,630417508,DORMITORIES,900099,5170490,5170490
202041929349302624,630417508,MISSIONFUGE SUMMER CAMP,900099,507720,507720
202041929349302624,630417508,ATHLETIC REVENUE,900099,47198,47198
202041929349302624,630417508,BOOKSTORE,900099,30541,30541
202011369349304221,430652675,TUITION & HOUSING,611600,47354755,47354755
201913159349302571,112206183,EXEMPT FUNCTION RENTS,611519,1643623,1643623
201913159349302571,112206183,STEWARD TRAINING REST.,611519,1167114,1167114
201913159349302571,112206183,VOCATIONAL TRAINING FE,611519,1120435,1120435
201913159349302571,112206183,RENTAL INCOME FROM AFF,900099,823196,823196
201943199349300539,200180768,TUITION,611310,803226,803226
202000839349300820,462977239,TUITION,611600,18990,18990
201933189349304228,562195966,TUITION AND FEES,698739,698739
202030839349300558,530199507,TUITION,611710,29221828,29221828,0,0
202030839349300558,530199507,ROOM AND BOARD,721310,13473750,13473750,0,0
202030839349300558,530199507,CONFERENCE CENTER REVENUE,721110,7653261,0,7653261,0
202030839349300558,530199507,AUXILIARY SERVICES,611710,1685647,773888,533624,378135
202030839349300558,530199507,GOVERNMENT APPROPRIATIONS,900099,147947,147947,0,0
202010869349300601,580593414,TUITION & FEES,611710,28885176,28885176
202010869349300601,580593414,AUXILIARY SERVICES,611710,8433312,8433312
202010869349300601,580593414,STUDENT SUPPORT,611710,355759,355759
202011059349301911,750926755,Tuition and Fees,611310,77516225,77516225
202011059349301911,750926755,Auxiliary Activities,611710,11091853,11091853
202020349349301102,362662739,TUITION FEES,900099,724181,724181
202020349349301102,362662739,AUXILARY,900099,221661,221661
202020349349301102,362662739,PROGRAMMING,611420,30816,30816
202041429349301504,590704726,TUITION & FEES,611710,52212031,52212031
202041429349301504,590704726,AUXILIARY ENTERPRISES,611710,27653335,27653335
202041349349302239,350868149,TUITION AND FEES,611710,97186559,97186559
202041349349302239,350868149,AUXILIARY ENTERPRISES,611710,18327667,18327667
202041349349302239,350868149,OTHER SOURCES,611710,2439872,2439872
202031979349300128,110461385,STUDENT TUITION & FEES,611710,35257848,35257848
202031979349300128,110461385,AUXILIARY REVENUE,900099,2571288,2571288
202031979349300133,731303821,TUITION AND FEES,611600,955198,955198
202031979349306533,710239729,TUITION & FEES,611710,13626303,13626303
202031979349306533,710239729,DORM FEES,721310,3052131,3052131
202031979349306533,710239729,MEAL PLAN,722210,1824445,1824445
202031979349306533,710239729,OTHER AUXILIARY FEES,900099,135275,135275
202031979349306533,710239729,BOOKSTORE SALES,611710,75357,75357
201903189349312455,113811029,TUITION,374925,374925
202021989349301537,200909475,Miscellaneous Income,900099,596083,596083
202021989349301537,200909475,Sponsored Research/Develp,900099,17126825,17126825
202021989349301537,200909475,Tuition and Fees,611600,3189612,3189612
202012379349301046,943255546,TUITION AND FEES,611600,242169,242169
202012379349301046,943255546,AUXILIARY INCOME,611600,215962,215962
202012379349301046,943255546,OTHER,611600,1155,1155
202021369349304427,250965438,TUITION AND FEES,611600,45308321,45308321
202021369349304427,250965438,RESIDENCE HALLS & BOARD,611600,5121732,5121732
202021369349304427,250965438,CARLOW CAMPUS SCHOOL,721310,3099219,3099219
202021369349304427,250965438,EARLY LEARNING CENTER,624410,374597,374597
202021369349304427,250965438,AUXILIARY PROGRAMS,900099,349813,349813
202021339349301017,041958460,Tuition and fees,611310,139467106,139467106,0,0
202021339349301017,041958460,Room and board related,611310,35482467,35482467,0,0
202041849349301499,986001269,TUITION,611600,161200815,161200815
202041849349301499,986001269,STUDENT FEES,611600,6636803,6636803
202041849349301499,986001269,AUXILIARY ACTIVITIES,611600,3206463,3206463
202040169349300309,237075717,"TUITION, ROOM & BOARD",611710,13369156,13369156
202040169349300309,237075717,AUXILIARY ENTERPRISES,611710,3844438,3844438
202040169349300309,237075717,EDUCATIONAL ACTIVITIES,611710,1364646,1364646
202041779349301644,770576082,TUITION FROM COURSES,611600,9699,9699
201913109349300006,237242844,TUITION & FEES,611430,12938175,12938175
201913109349300006,237242844,HEALTH CENTER,611710,289811,289811
201913109349300006,237242844,EDUCATIONAL SEMINARS/EVENTS,611430,226670,226670
201913109349300006,237242844,BOOKSTORE,611710,62281,62281
202030839349300418,420707120,STUDENT TUITION AND FEES,611600,25511396,25511396
202030839349300418,420707120,BOARD,721310,1963923,1963923
202030839349300418,420707120,ROOM,611710,1767374,1767374
202030839349300418,420707120,OTHER PROGRAM INCOME,722210,602750,602750
202030839349300418,420707120,BOOKS AND OTHER SUPPLIES,451211,40739,40739
202031339349302598,430746185,TUITION AND FEES,611310,33888496,33888496
202031339349302598,430746185,SALES AND SERVICE OF EDUCATIONAL,611310,723506,723506
202001789349300340,370673513,TUITION AND FEES,611310,59915571,59915571
202001789349300340,370673513,AUXILIARY ENTERPRISES - PROGRAM,611710,10640216,10640216
202001789349300340,370673513,AUXILIARY ENTERPRISES - CATERING,722320,94470,94470
202000429349301530,580685908,Tuition and fees,900099,19359460,19359460
202000429349301530,580685908,Auxiliary enterprises,900099,3898939,3729183,169756
202000429349301530,580685908,Conference fees,900099,276308,276308
201923589349300007,431658069,TUITION AND FEES,611600,1622048,1622048
201923589349300007,431658069,STUDENT HOUSING FEES,611710,109525,109525
201923589349300007,431658069,SEMINAR INCOME,611710,36210,36210
201923589349300007,431658069,GRADUATION FEES,611710,15019,15019
202021369349305222,540505990,PROGRAM SERVICE REVENUE,611600,79198735,79198735
202021369349305222,540505990,AUXILIARY ENTERPRISE,611710,34815300,34821615,-6315
202021369349305222,540505990,HUPTI,621500,18112405,18112405
202021369349305222,540505990,EDUCATIONAL DEPARTMENTS,611710,6859362,6859362
202001989349300120,132887929,Tuition,900099,9730356,9730356
202001989349300120,132887929,Application Fees,900099,27139,27139
202041359349303369,610444780,Tuition and Fees,611310,35228844,35228844
202041359349303369,610444780,Residence Hall,611310,1017202,1017202
202041359349303369,610444780,Sponsored Programs,611310,316354,316354
202041359349303369,610444780,Entech Program,611310,206952,206952
202041359349303369,610444780,Master of Fine Arts Program,611310,189493,189493
202021359349302342,620476301,Tuition and fees,94994654,94994654
202021359349302342,620476301,Auxiliary enterprises,16114529,16032842,81687
